"Cohort","Side","Model","Fixed_OOF_BA_Tuned","Architecture_OOF_BA_Tuned","Delta_OOF_BA","Fixed_Test_BA_Mean","Architecture_Test_BA_Mean","Delta_Test_BA","Fixed_Test_Accuracy_Mean","Architecture_Test_Accuracy_Mean","Delta_Test_Accuracy","Fixed_Threshold","Architecture_Threshold"
"All_coef","left","MLP","0.838829037454692","0.844014297221104","0.0051852597664116","0.736378205128205","0.772168803418803","0.0357905982905982","0.734234234234234","0.788288288288288","0.0540540540540542","0.31","0.5"
"All_coef","left","MobileNet","0.689941602899718","0.630059403946839","-0.0598821989528795","0.597489316239316","0.545673076923077","-0.0518162393162392","0.653153153153153","0.563063063063063","-0.0900900900900902","0.37","0.41"
"All_coef","left","ResNet","0.715263793797825","0.663612565445026","-0.051651228352799","0.602831196581197","0.653044871794872","0.0502136752136751","0.648648648648649","0.725225225225225","0.0765765765765765","0.36","0.475"
"All_coef","left","ResNetAE","0.697518123238019","0.625729963753524","-0.0717881594844946","0.614316239316239","0.630608974358974","0.016292735042735","0.621621621621622","0.684684684684685","0.0630630630630631","0.295","0.345"
"All_coef","left","SqueezeNet","0.526303866290777","0.583165525573903","0.0568616592831253","0.559561965811966","0.756677350427351","0.197115384615385","0.581081081081081","0.756756756756757","0.175675675675676","0.345","0.415"
"All_coef","left","SVM","0.813028594442207","0.837545308095046","0.0245167136528394","0.826923076923077","0.81383547008547","-0.0130876068376068","0.828828828828829","0.792792792792793","-0.0360360360360361","0.44","0.375"
"All_coef","right","MLP","0.86069844789357","0.86069844789357","0","0.856060606060606","0.811363636363636","-0.0446969696969697","0.866666666666667","0.84","-0.0266666666666667","0.375","0.41"
"All_coef","right","MobileNet","0.698059866962306","0.626607538802661","-0.0714523281596452","0.592424242424242","0.646212121212121","0.0537878787878788","0.728888888888889","0.706666666666667","-0.0222222222222221","0.285","0.25"
"All_coef","right","ResNet","0.732150776053215","0.694345898004435","-0.0378048780487805","0.768939393939394","0.710606060606061","-0.0583333333333333","0.808888888888889","0.777777777777778","-0.0311111111111112","0.36","0.315"
"All_coef","right","ResNetAE","0.733425720620843","0.691740576496674","-0.0416851441241685","0.787878787878788","0.703030303030303","-0.084848484848485","0.813333333333333","0.782222222222222","-0.0311111111111111","0.21","0.375"
