Cohort,Side,Fold,Train_rows_before_aug,Fold_train_class_0,Fold_train_class_1,Synthetic_rows_for_balance,Fold_val_rows,Fold_val_class_0,Fold_val_class_1,PLS_components_requested,PLS_components_actual,Train_total_rows,Test_total_rows,Train_class_0,Train_class_1
All_coef,left,1,265,171,94,77,30,20,10,8,8,295,74,191,104
All_coef,left,2,265,172,93,79,30,19,11,8,8,295,74,191,104
All_coef,left,3,265,172,93,79,30,19,11,8,8,295,74,191,104
All_coef,left,4,265,172,93,79,30,19,11,8,8,295,74,191,104
All_coef,left,5,265,172,93,79,30,19,11,8,8,295,74,191,104
All_coef,left,6,266,172,94,78,29,19,10,8,8,295,74,191,104
All_coef,left,7,266,172,94,78,29,19,10,8,8,295,74,191,104
All_coef,left,8,266,172,94,78,29,19,10,8,8,295,74,191,104
All_coef,left,9,266,172,94,78,29,19,10,8,8,295,74,191,104
All_coef,left,10,266,172,94,78,29,19,10,8,8,295,74,191,104
All_coef,right,1,271,198,73,125,31,22,9,8,8,302,75,220,82
All_coef,right,2,271,198,73,125,31,22,9,8,8,302,75,220,82
All_coef,right,3,272,198,74,124,30,22,8,8,8,302,75,220,82
All_coef,right,4,272,198,74,124,30,22,8,8,8,302,75,220,82
All_coef,right,5,272,198,74,124,30,22,8,8,8,302,75,220,82
All_coef,right,6,272,198,74,124,30,22,8,8,8,302,75,220,82
All_coef,right,7,272,198,74,124,30,22,8,8,8,302,75,220,82
All_coef,right,8,272,198,74,124,30,22,8,8,8,302,75,220,82
All_coef,right,9,272,198,74,124,30,22,8,8,8,302,75,220,82
All_coef,right,10,272,198,74,124,30,22,8,8,8,302,75,220,82
All_coef_Ds004469,left,1,48,33,15,18,6,4,2,8,8,54,12,37,17
All_coef_Ds004469,left,2,48,33,15,18,6,4,2,8,8,54,12,37,17
All_coef_Ds004469,left,3,48,33,15,18,6,4,2,8,8,54,12,37,17
All_coef_Ds004469,left,4,48,33,15,18,6,4,2,8,8,54,12,37,17
All_coef_Ds004469,left,5,49,33,16,17,5,4,1,8,8,54,12,37,17
All_coef_Ds004469,left,6,49,33,16,17,5,4,1,8,8,54,12,37,17
All_coef_Ds004469,left,7,49,33,16,17,5,4,1,8,8,54,12,37,17
All_coef_Ds004469,left,8,49,34,15,19,5,3,2,8,8,54,12,37,17
All_coef_Ds004469,left,9,49,34,15,19,5,3,2,8,8,54,12,37,17
All_coef_Ds004469,left,10,49,34,15,19,5,3,2,8,8,54,12,37,17
All_coef_Ds004469,right,1,47,37,10,27,6,5,1,8,8,53,12,42,11
All_coef_Ds004469,right,2,47,37,10,27,6,5,1,8,8,53,12,42,11
All_coef_Ds004469,right,3,47,38,9,29,6,4,2,8,8,53,12,42,11
All_coef_Ds004469,right,4,48,38,10,28,5,4,1,8,8,53,12,42,11
All_coef_Ds004469,right,5,48,38,10,28,5,4,1,8,8,53,12,42,11
All_coef_Ds004469,right,6,48,38,10,28,5,4,1,8,8,53,12,42,11
All_coef_Ds004469,right,7,48,38,10,28,5,4,1,8,8,53,12,42,11
All_coef_Ds004469,right,8,48,38,10,28,5,4,1,8,8,53,12,42,11
All_coef_Ds004469,right,9,48,38,10,28,5,4,1,8,8,53,12,42,11
All_coef_Ds004469,right,10,48,38,10,28,5,4,1,8,8,53,12,42,11
All_coef_Ds005602,left,1,216,138,78,60,25,16,9,8,8,241,62,154,87
All_coef_Ds005602,left,2,217,138,79,59,24,16,8,8,8,241,62,154,87
All_coef_Ds005602,left,3,217,138,79,59,24,16,8,8,8,241,62,154,87
All_coef_Ds005602,left,4,217,138,79,59,24,16,8,8,8,241,62,154,87
All_coef_Ds005602,left,5,217,139,78,61,24,15,9,8,8,241,62,154,87
All_coef_Ds005602,left,6,217,139,78,61,24,15,9,8,8,241,62,154,87
All_coef_Ds005602,left,7,217,139,78,61,24,15,9,8,8,241,62,154,87
All_coef_Ds005602,left,8,217,139,78,61,24,15,9,8,8,241,62,154,87
All_coef_Ds005602,left,9,217,139,78,61,24,15,9,8,8,241,62,154,87
All_coef_Ds005602,left,10,217,139,78,61,24,15,9,8,8,241,62,154,87
All_coef_Ds005602,right,1,224,161,63,98,25,17,8,8,8,249,63,178,71
All_coef_Ds005602,right,2,224,160,64,96,25,18,7,8,8,249,63,178,71
All_coef_Ds005602,right,3,224,160,64,96,25,18,7,8,8,249,63,178,71
All_coef_Ds005602,right,4,224,160,64,96,25,18,7,8,8,249,63,178,71
All_coef_Ds005602,right,5,224,160,64,96,25,18,7,8,8,249,63,178,71
All_coef_Ds005602,right,6,224,160,64,96,25,18,7,8,8,249,63,178,71
All_coef_Ds005602,right,7,224,160,64,96,25,18,7,8,8,249,63,178,71
All_coef_Ds005602,right,8,224,160,64,96,25,18,7,8,8,249,63,178,71
All_coef_Ds005602,right,9,224,160,64,96,25,18,7,8,8,249,63,178,71
All_coef_Ds005602,right,10,225,161,64,97,24,17,7,8,8,249,63,178,71
