number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_lr,params_mlp_depth,params_mlp_width,params_pls_components,params_weight_decay,state
0,0.8138844140153041,2026-09-22 08:20:20.180446,2026-09-22 08:20:39.594716,0 days 00:00:19.414270,gelu,8,0.16239780813448107,0.0003574712922600243,1,64,8,0.006351221010640704,COMPLETE
1,0.8204540877970197,2026-09-22 08:20:39.594716,2026-09-22 08:20:44.031015,0 days 00:00:04.436299,gelu,32,0.41407038455720546,0.0008012737503998541,3,128,24,3.6138942712165278e-06,COMPLETE
2,0.8287354007249295,2026-09-22 08:20:44.031015,2026-09-22 08:20:53.627844,0 days 00:00:09.596829,gelu,16,0.36500891374159283,0.00015144860262751404,3,256,6,9.565499215943819e-05,COMPLETE
3,0.8213099073701168,2026-09-22 08:20:53.627844,2026-09-22 08:21:12.946032,0 days 00:00:19.318188,gelu,8,0.31707843326329943,0.00037507963596256056,3,32,4,1.2172958098369984e-05,COMPLETE
4,0.8654349577124446,2026-09-22 08:21:12.946032,2026-09-22 08:21:24.742188,0 days 00:00:11.796156,relu,8,0.23007332881069884,0.0018832519048593583,2,32,2,0.0003113095956122125,COMPLETE
5,0.6237162706403544,2026-09-22 08:21:24.742188,2026-09-22 08:21:27.776877,0 days 00:00:03.034689,gelu,32,0.19971689165954998,0.00011128194768838959,3,128,12,0.00035127047262708476,PRUNED
6,0.6237162706403544,2026-09-22 08:21:27.776877,2026-09-22 08:21:30.498293,0 days 00:00:02.721416,gelu,8,0.27084311545050255,0.001558428978238547,1,256,24,0.003840300419098858,PRUNED
7,0.6285239629480467,2026-09-22 08:21:30.498293,2026-09-22 08:21:33.374365,0 days 00:00:02.876072,relu,8,0.11475477894181313,0.0026402883285404338,1,64,24,1.0165510266418738e-05,PRUNED
8,0.7212041884816753,2026-09-22 08:21:33.374365,2026-09-22 08:21:42.142575,0 days 00:00:08.768210,relu,8,0.43412099823569517,0.0003493496258511927,1,128,6,0.00033823872019362184,PRUNED
9,0.6263340716874748,2026-09-22 08:21:42.142575,2026-09-22 08:21:48.314395,0 days 00:00:06.171820,relu,8,0.3639936184136716,0.0003190041672417553,2,64,12,2.843767489444368e-06,PRUNED
