number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_depth_multiplier,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_weight_decay,params_width_multiplier,state
0,0.5652688280306082,2026-09-22 08:30:47.907214,2026-09-22 08:31:21.629889,0 days 00:00:33.722675,gelu,8,2,0.16239780813448107,5,0.0003574712922600243,8,8,0.006351221010640704,1.5,COMPLETE
1,0.5765455094643577,2026-09-22 08:31:21.629889,2026-09-22 08:31:32.198139,0 days 00:00:10.568250,relu,32,1,0.1185801650879991,3,0.000471705203762518,6,1,0.0013826232179369874,1.5,COMPLETE
2,0.6010622231171969,2026-09-22 08:31:32.198139,2026-09-22 08:32:08.745563,0 days 00:00:36.547424,gelu,8,1,0.4579309401710595,3,0.000642033033629786,24,1,5.4880470007660465e-06,1.5,COMPLETE
3,0.4904349577124446,2026-09-22 08:32:08.746617,2026-09-22 08:32:14.423854,0 days 00:00:05.677237,relu,32,1,0.12961786069363615,5,0.0001018959297939515,2,4,0.0018274508859816032,1.0,PRUNED
4,0.527184857027789,2026-09-22 08:32:14.423854,2026-09-22 08:32:25.295716,0 days 00:00:10.871862,gelu,16,2,0.3545641645055122,3,0.0005917520523090669,2,4,5.1305517605898387e-05,1.0,PRUNED
5,0.5337545308095046,2026-09-22 08:32:25.295716,2026-09-22 08:32:39.815927,0 days 00:00:14.520211,gelu,8,2,0.27084311545050255,3,0.001558428978238547,24,4,0.003840300419098858,1.5,PRUNED
6,0.574405960531615,2026-09-22 08:32:39.815927,2026-09-22 08:33:51.478302,0 days 00:01:11.662375,relu,8,2,0.2114585856946446,3,0.0002634777514406047,6,1,1.4045842344024705e-06,0.5,PRUNED
7,0.5455094643576319,2026-09-22 08:33:51.478302,2026-09-22 08:34:44.944550,0 days 00:00:53.466248,relu,8,3,0.1905983100791752,3,0.00011487613841748918,6,8,0.00023097861492693574,0.5,PRUNED
8,0.547749697946033,2026-09-22 08:34:44.944550,2026-09-22 08:34:54.453241,0 days 00:00:09.508691,relu,32,2,0.4588441039810308,3,0.002138093289022218,8,4,0.0003407264348530192,0.5,PRUNED
9,0.5184252919855014,2026-09-22 08:34:54.453241,2026-09-22 08:35:03.509274,0 days 00:00:09.056033,gelu,16,1,0.32732344133418867,3,0.000302450850735014,6,4,0.0009682012086882475,1.0,PRUNED
