number,value,datetime_start,datetime_complete,duration,params_activation,params_base_channels,params_batch_size,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_residual_blocks,params_weight_decay,state
0,0.6552809101892871,2026-09-22 08:22:17.022521,2026-09-22 08:22:45.479099,0 days 00:00:28.456578,gelu,64,8,0.16239780813448107,7,0.0003574712922600243,8,8,1,0.006351221010640704,COMPLETE
1,0.5849275070479258,2026-09-22 08:22:45.479099,2026-09-22 08:23:07.483397,0 days 00:00:22.004298,relu,32,16,0.34301794076057535,3,0.0014447746112718689,4,4,1,6.290644294586145e-06,COMPLETE
2,0.563557188884414,2026-09-22 08:23:07.483397,2026-09-22 08:23:38.120133,0 days 00:00:30.636736,gelu,64,8,0.4687496940092467,5,0.0027051668818999287,12,4,1,0.001260466458564947,COMPLETE
3,0.5096153846153846,2026-09-22 08:23:38.120133,2026-09-22 08:23:48.096353,0 days 00:00:09.976220,relu,64,16,0.4452413703502375,5,0.001193526270851053,16,1,2,0.0012164139351417069,PRUNED
4,0.523610551751913,2026-09-22 08:23:48.096353,2026-09-22 08:23:59.525289,0 days 00:00:11.428936,gelu,16,32,0.19971689165954998,3,0.00011128194768838959,12,1,3,0.00035127047262708476,PRUNED
5,0.5017619814740234,2026-09-22 08:23:59.525289,2026-09-22 08:24:16.872591,0 days 00:00:17.347302,relu,16,8,0.2669644012595116,3,0.000427454597625198,24,1,2,0.0018709365688887364,PRUNED
6,0.5272351993556181,2026-09-22 08:24:16.872591,2026-09-22 08:24:21.902556,0 days 00:00:05.029965,gelu,16,32,0.19682210860460017,7,0.0021959317857485673,4,8,1,9.083381663660597e-06,PRUNED
7,0.4973821989528796,2026-09-22 08:24:21.902556,2026-09-22 08:24:34.987492,0 days 00:00:13.084936,gelu,64,16,0.23642654042010341,3,0.00018095073787215783,2,1,3,0.0005804314717414074,PRUNED
8,0.5464659685863874,2026-09-22 08:24:34.987492,2026-09-22 08:24:49.774285,0 days 00:00:14.786793,gelu,64,16,0.10367882064665186,5,0.0008878888265538121,24,4,2,2.170500348871115e-06,PRUNED
9,0.5069975835682642,2026-09-22 08:24:49.774285,2026-09-22 08:25:03.763442,0 days 00:00:13.989157,gelu,32,16,0.41792452141665937,7,0.00022929906728696718,6,1,2,0.007799059237255683,PRUNED
