number,value,datetime_start,datetime_complete,duration,params_activation,params_base_channels,params_batch_size,params_bottleneck,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_recon_weight,params_residual_blocks,params_weight_decay,state
0,0.684127064035441,2026-09-22 08:26:15.194429,2026-09-22 08:26:52.212456,0 days 00:00:37.018027,gelu,64,8,16,0.16239780813448107,7,0.0003574712922600243,8,8,0.009290082543999545,1,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 08:26:52.212456,2026-09-22 08:27:10.340746,0 days 00:00:18.128290,relu,16,32,16,0.4233589392465845,7,0.0007896186801026692,16,1,0.06506606615265287,3,4.809461967501575e-06,COMPLETE
2,0.5205648409182441,2026-09-22 08:27:10.340746,2026-09-22 08:28:07.057979,0 days 00:00:56.717233,gelu,32,8,128,0.31707843326329943,7,0.00037507963596256056,4,1,0.09444298503238986,2,1.2172958098369984e-05,COMPLETE
3,0.4973821989528796,2026-09-22 08:28:07.058972,2026-09-22 08:28:12.210275,0 days 00:00:05.151303,relu,64,32,128,0.2975182385457563,7,0.00015019490572374368,24,1,0.10786844838313014,1,0.0007128188058401369,PRUNED
4,0.5,2026-09-22 08:28:12.210275,2026-09-22 08:28:29.604218,0 days 00:00:17.393943,gelu,64,8,32,0.27084311545050255,5,0.001558428978238547,24,1,0.05572929284732229,1,0.003840300419098858,PRUNED
5,0.606348167539267,2026-09-22 08:28:29.604218,2026-09-22 08:28:39.169648,0 days 00:00:09.565430,gelu,16,32,128,0.19682210860460017,7,0.0021959317857485673,4,8,0.027504188829198653,1,9.083381663660597e-06,COMPLETE
6,0.5279903342730567,2026-09-22 08:28:39.169648,2026-09-22 08:28:51.515845,0 days 00:00:12.346197,relu,64,8,64,0.3639936184136716,3,0.0003190041672417553,12,4,0.03216161028349973,1,2.843767489444368e-06,PRUNED
7,0.5,2026-09-22 08:28:51.515845,2026-09-22 08:28:58.023392,0 days 00:00:06.507547,gelu,32,32,16,0.19489963499872004,3,0.0006464669746492403,4,1,0.03542213588140979,2,0.0005855726588796257,PRUNED
8,0.5218989126057189,2026-09-22 08:28:58.023392,2026-09-22 08:29:21.636618,0 days 00:00:23.613226,gelu,32,8,16,0.4713274250350902,7,0.0024500297851058135,2,8,0.058718368852898675,3,0.006542056762893132,PRUNED
9,0.5091874748288361,2026-09-22 08:29:21.636618,2026-09-22 08:29:29.238647,0 days 00:00:07.602029,relu,64,16,32,0.30060651787487985,5,0.0015686446242335742,6,1,0.0170694929987536,1,0.0017396167422846992,PRUNED
