number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_fire_blocks,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_squeeze_ratio,params_squeeze_width,params_weight_decay,state
0,0.523610551751913,2026-09-22 08:36:15.082406,2026-09-22 08:36:50.378254,0 days 00:00:35.295848,gelu,8,0.16239780813448107,3,5,0.0003574712922600243,8,4,4,32,0.006351221010640704,COMPLETE
1,0.5043797825211438,2026-09-22 08:36:50.378254,2026-09-22 08:37:09.644700,0 days 00:00:19.266446,gelu,16,0.12602063719411183,3,5,0.0005748924681991981,2,4,8,16,0.00023423849847112912,COMPLETE
2,0.5,2026-09-22 08:37:09.644700,2026-09-22 08:37:23.991855,0 days 00:00:14.347155,relu,16,0.23013213230530574,2,3,0.0007641361869233315,2,8,2,8,0.0048696409415209,COMPLETE
3,0.5,2026-09-22 08:37:23.991855,2026-09-22 08:37:27.292418,0 days 00:00:03.300563,gelu,32,0.39184247133522565,2,5,0.0008330803890301997,16,8,4,8,2.106648601704221e-05,PRUNED
4,0.5021898912605719,2026-09-22 08:37:27.292418,2026-09-22 08:37:31.915491,0 days 00:00:04.623073,gelu,32,0.4232481518257668,4,3,0.00021775224101934097,16,8,2,32,2.031980983842497e-06,PRUNED
5,0.5,2026-09-22 08:37:31.915491,2026-09-22 08:37:33.899058,0 days 00:00:01.983567,gelu,32,0.48497891797684456,3,3,0.00030019946952402954,8,1,2,8,0.00011889469769530483,PRUNED
6,0.4973821989528796,2026-09-22 08:37:33.899058,2026-09-22 08:37:39.882404,0 days 00:00:05.983346,gelu,16,0.1746074041599417,3,5,0.000862581622692092,24,1,4,16,0.00013902686711035023,PRUNED
7,0.5,2026-09-22 08:37:39.883405,2026-09-22 08:37:43.704547,0 days 00:00:03.821142,gelu,16,0.2356119164194803,3,3,0.000227638208665269,24,4,8,8,2.3572794556769826e-06,PRUNED
8,0.4973821989528796,2026-09-22 08:37:43.704547,2026-09-22 08:37:50.440666,0 days 00:00:06.736119,gelu,16,0.32732344133418867,2,3,0.000302450850735014,6,4,2,16,0.0009682012086882475,PRUNED
9,0.5,2026-09-22 08:37:50.440666,2026-09-22 08:37:53.437168,0 days 00:00:02.996502,relu,32,0.4854479908357011,4,3,0.00035218372593046857,16,1,8,32,1.1529924570330225e-06,PRUNED
