number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_lr,params_mlp_depth,params_mlp_width,params_pls_components,params_weight_decay,state
0,0.8103658536585365,2026-09-22 08:39:19.426510,2026-09-22 08:39:35.936474,0 days 00:00:16.509964,gelu,8,0.16239780813448107,0.0003574712922600243,1,64,8,0.006351221010640704,COMPLETE
1,0.8317627494456763,2026-09-22 08:39:35.936474,2026-09-22 08:39:40.683493,0 days 00:00:04.747019,gelu,32,0.41407038455720546,0.0008012737503998541,3,128,24,3.6138942712165278e-06,COMPLETE
2,0.8042682926829268,2026-09-22 08:39:40.683493,2026-09-22 08:39:49.849413,0 days 00:00:09.165920,gelu,16,0.36500891374159283,0.00015144860262751404,3,256,6,9.565499215943819e-05,COMPLETE
3,0.7760532150776054,2026-09-22 08:39:49.849413,2026-09-22 08:40:09.416050,0 days 00:00:19.566637,gelu,8,0.31707843326329943,0.00037507963596256056,3,32,4,1.2172958098369984e-05,PRUNED
4,0.8514966740576497,2026-09-22 08:40:09.416050,2026-09-22 08:40:23.854998,0 days 00:00:14.438948,relu,8,0.23007332881069884,0.0018832519048593583,2,32,2,0.0003113095956122125,COMPLETE
5,0.6532705099778271,2026-09-22 08:40:23.854998,2026-09-22 08:40:27.927143,0 days 00:00:04.072145,gelu,32,0.19971689165954998,0.00011128194768838959,3,128,12,0.00035127047262708476,PRUNED
6,0.6166851441241685,2026-09-22 08:40:27.927143,2026-09-22 08:40:31.134111,0 days 00:00:03.206968,gelu,8,0.27084311545050255,0.001558428978238547,1,256,24,0.003840300419098858,PRUNED
7,0.8279379157427937,2026-09-22 08:40:31.134111,2026-09-22 08:40:39.940656,0 days 00:00:08.806545,relu,8,0.11475477894181313,0.0026402883285404338,1,64,24,1.0165510266418738e-05,COMPLETE
8,0.8393015521064302,2026-09-22 08:40:39.940656,2026-09-22 08:40:53.947795,0 days 00:00:14.007139,relu,8,0.43412099823569517,0.0003493496258511927,1,128,6,0.00033823872019362184,COMPLETE
9,0.7966186252771619,2026-09-22 08:40:53.947795,2026-09-22 08:41:12.491769,0 days 00:00:18.543974,relu,8,0.3639936184136716,0.0003190041672417553,2,64,12,2.843767489444368e-06,PRUNED
