number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_depth_multiplier,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_weight_decay,params_width_multiplier,state
0,0.5894124168514412,2026-09-22 08:53:30.419048,2026-09-22 08:54:09.051963,0 days 00:00:38.632915,gelu,8,2,0.16239780813448107,5,0.0003574712922600243,8,8,0.006351221010640704,1.5,COMPLETE
1,0.5916851441241685,2026-09-22 08:54:09.051963,2026-09-22 08:54:25.010578,0 days 00:00:15.958615,relu,32,1,0.1185801650879991,3,0.000471705203762518,6,1,0.0013826232179369874,1.5,COMPLETE
2,0.6191796008869179,2026-09-22 08:54:25.011578,2026-09-22 08:55:05.481387,0 days 00:00:40.469809,gelu,8,1,0.4579309401710595,3,0.000642033033629786,24,1,5.4880470007660465e-06,1.5,COMPLETE
3,0.523669623059867,2026-09-22 08:55:05.482392,2026-09-22 08:55:13.597196,0 days 00:00:08.114804,relu,32,1,0.12961786069363615,5,0.0001018959297939515,2,4,0.0018274508859816032,1.0,PRUNED
4,0.5726718403547673,2026-09-22 08:55:13.598195,2026-09-22 08:55:36.114311,0 days 00:00:22.516116,gelu,16,2,0.3545641645055122,3,0.0005917520523090669,2,4,5.1305517605898387e-05,1.0,PRUNED
5,0.5751662971175167,2026-09-22 08:55:36.114311,2026-09-22 08:56:15.015502,0 days 00:00:38.901191,gelu,8,2,0.27084311545050255,3,0.001558428978238547,24,4,0.003840300419098858,1.5,PRUNED
6,0.5290465631929047,2026-09-22 08:56:15.016502,2026-09-22 08:56:49.522830,0 days 00:00:34.506328,relu,8,2,0.2114585856946446,3,0.0002634777514406047,6,1,1.4045842344024705e-06,0.5,PRUNED
7,0.5124168514412417,2026-09-22 08:56:49.522830,2026-09-22 08:57:26.687435,0 days 00:00:37.164605,relu,8,3,0.1905983100791752,3,0.00011487613841748918,6,8,0.00023097861492693574,0.5,PRUNED
8,0.6261086474501109,2026-09-22 08:57:26.687435,2026-09-22 08:57:45.189083,0 days 00:00:18.501648,relu,32,2,0.4588441039810308,3,0.002138093289022218,8,4,0.0003407264348530192,0.5,COMPLETE
9,0.6420177383592018,2026-09-22 08:57:45.189083,2026-09-22 08:58:15.457253,0 days 00:00:30.268170,gelu,16,1,0.32732344133418867,3,0.000302450850735014,6,4,0.0009682012086882475,1.0,COMPLETE
