number,value,datetime_start,datetime_complete,duration,params_activation,params_base_channels,params_batch_size,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_residual_blocks,params_weight_decay,state
0,0.6465631929046562,2026-09-22 08:41:46.306026,2026-09-22 08:42:21.238045,0 days 00:00:34.932019,gelu,64,8,0.16239780813448107,7,0.0003574712922600243,8,8,1,0.006351221010640704,COMPLETE
1,0.5557095343680709,2026-09-22 08:42:21.238045,2026-09-22 08:42:47.828748,0 days 00:00:26.590703,relu,32,16,0.34301794076057535,3,0.0014447746112718689,4,4,1,6.290644294586145e-06,COMPLETE
2,0.5864190687361419,2026-09-22 08:42:47.828748,2026-09-22 08:43:28.461593,0 days 00:00:40.632845,gelu,64,8,0.4687496940092467,5,0.0027051668818999287,12,4,1,0.001260466458564947,COMPLETE
3,0.5121951219512195,2026-09-22 08:43:28.461593,2026-09-22 08:43:42.401386,0 days 00:00:13.939793,relu,64,16,0.4452413703502375,5,0.001193526270851053,16,1,2,0.0012164139351417069,PRUNED
4,0.5121951219512195,2026-09-22 08:43:42.401386,2026-09-22 08:43:53.771244,0 days 00:00:11.369858,gelu,16,32,0.19971689165954998,3,0.00011128194768838959,12,1,3,0.00035127047262708476,PRUNED
5,0.5053769401330377,2026-09-22 08:43:53.771244,2026-09-22 08:44:18.442930,0 days 00:00:24.671686,relu,16,8,0.2669644012595116,3,0.000427454597625198,24,1,2,0.0018709365688887364,PRUNED
6,0.5550997782705099,2026-09-22 08:44:18.442930,2026-09-22 08:44:23.426328,0 days 00:00:04.983398,gelu,16,32,0.19682210860460017,7,0.0021959317857485673,4,8,1,9.083381663660597e-06,PRUNED
7,0.5046563192904656,2026-09-22 08:44:23.426328,2026-09-22 08:44:41.743289,0 days 00:00:18.316961,gelu,64,16,0.23642654042010341,3,0.00018095073787215783,2,1,3,0.0005804314717414074,PRUNED
8,0.6391352549889135,2026-09-22 08:44:41.743289,2026-09-22 08:45:09.407003,0 days 00:00:27.663714,gelu,64,16,0.10367882064665186,5,0.0008878888265538121,24,4,2,2.170500348871115e-06,COMPLETE
9,0.5060975609756098,2026-09-22 08:45:09.407003,2026-09-22 08:45:22.308798,0 days 00:00:12.901795,gelu,32,16,0.41792452141665937,7,0.00022929906728696718,6,1,2,0.007799059237255683,PRUNED
