number,value,datetime_start,datetime_complete,duration,params_activation,params_base_channels,params_batch_size,params_bottleneck,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_recon_weight,params_residual_blocks,params_weight_decay,state
0,0.6603104212860311,2026-09-22 08:46:42.891552,2026-09-22 08:47:19.932445,0 days 00:00:37.040893,gelu,64,8,16,0.16239780813448107,7,0.0003574712922600243,8,8,0.009290082543999545,1,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 08:47:19.932445,2026-09-22 08:47:42.721177,0 days 00:00:22.788732,relu,16,32,16,0.4233589392465845,7,0.0007896186801026692,16,1,0.06506606615265287,3,4.809461967501575e-06,COMPLETE
2,0.5,2026-09-22 08:47:42.721177,2026-09-22 08:48:34.506300,0 days 00:00:51.785123,gelu,32,8,128,0.31707843326329943,7,0.00037507963596256056,4,1,0.09444298503238986,2,1.2172958098369984e-05,COMPLETE
3,0.5321507760532151,2026-09-22 08:48:34.506300,2026-09-22 08:48:53.100504,0 days 00:00:18.594204,relu,64,32,128,0.2975182385457563,7,0.00015019490572374368,24,1,0.10786844838313014,1,0.0007128188058401369,COMPLETE
4,0.5060975609756098,2026-09-22 08:48:53.100504,2026-09-22 08:49:12.622458,0 days 00:00:19.521954,gelu,64,8,32,0.27084311545050255,5,0.001558428978238547,24,1,0.05572929284732229,1,0.003840300419098858,PRUNED
5,0.6200110864745011,2026-09-22 08:49:12.622458,2026-09-22 08:49:25.152762,0 days 00:00:12.530304,gelu,16,32,128,0.19682210860460017,7,0.0021959317857485673,4,8,0.027504188829198653,1,9.083381663660597e-06,COMPLETE
6,0.5610864745011086,2026-09-22 08:49:25.152762,2026-09-22 08:50:24.182401,0 days 00:00:59.029639,relu,64,8,64,0.3639936184136716,3,0.0003190041672417553,12,4,0.03216161028349973,1,2.843767489444368e-06,COMPLETE
7,0.5099223946784922,2026-09-22 08:50:24.182401,2026-09-22 08:50:34.305143,0 days 00:00:10.122742,gelu,32,32,16,0.19489963499872004,3,0.0006464669746492403,4,1,0.03542213588140979,2,0.0005855726588796257,PRUNED
8,0.5903547671840355,2026-09-22 08:50:34.305143,2026-09-22 08:51:47.773403,0 days 00:01:13.468260,gelu,32,8,16,0.4713274250350902,7,0.0024500297851058135,2,8,0.058718368852898675,3,0.006542056762893132,COMPLETE
9,0.5,2026-09-22 08:51:47.773403,2026-09-22 08:51:57.645890,0 days 00:00:09.872487,relu,64,16,32,0.30060651787487985,5,0.0015686446242335742,6,1,0.0170694929987536,1,0.0017396167422846992,PRUNED
