number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_fire_blocks,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_squeeze_ratio,params_squeeze_width,params_weight_decay,state
0,0.5,2026-09-22 08:59:05.285812,2026-09-22 08:59:47.555788,0 days 00:00:42.269976,gelu,8,0.16239780813448107,3,5,0.0003574712922600243,8,4,4,32,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 08:59:47.555788,2026-09-22 09:00:08.598309,0 days 00:00:21.042521,gelu,16,0.12602063719411183,3,5,0.0005748924681991981,2,4,8,16,0.00023423849847112912,COMPLETE
2,0.5,2026-09-22 09:00:08.598309,2026-09-22 09:00:20.905828,0 days 00:00:12.307519,relu,16,0.23013213230530574,2,3,0.0007641361869233315,2,8,2,8,0.0048696409415209,COMPLETE
3,0.5,2026-09-22 09:00:20.906843,2026-09-22 09:00:31.241007,0 days 00:00:10.334164,gelu,32,0.39184247133522565,2,5,0.0008330803890301997,16,8,4,8,2.106648601704221e-05,COMPLETE
4,0.5,2026-09-22 09:00:31.241007,2026-09-22 09:00:44.580453,0 days 00:00:13.339446,gelu,32,0.4232481518257668,4,3,0.00021775224101934097,16,8,2,32,2.031980983842497e-06,COMPLETE
5,0.5,2026-09-22 09:00:44.580453,2026-09-22 09:00:53.463889,0 days 00:00:08.883436,gelu,32,0.48497891797684456,3,3,0.00030019946952402954,8,1,2,8,0.00011889469769530483,COMPLETE
6,0.5,2026-09-22 09:00:53.463889,2026-09-22 09:01:12.839782,0 days 00:00:19.375893,gelu,16,0.1746074041599417,3,5,0.000862581622692092,24,1,4,16,0.00013902686711035023,COMPLETE
7,0.5,2026-09-22 09:01:12.839782,2026-09-22 09:01:29.951557,0 days 00:00:17.111775,gelu,16,0.2356119164194803,3,3,0.000227638208665269,24,4,8,8,2.3572794556769826e-06,COMPLETE
8,0.5,2026-09-22 09:01:29.951557,2026-09-22 09:01:46.263276,0 days 00:00:16.311719,gelu,16,0.32732344133418867,2,3,0.000302450850735014,6,4,2,16,0.0009682012086882475,COMPLETE
9,0.5,2026-09-22 09:01:46.263276,2026-09-22 09:01:58.598377,0 days 00:00:12.335101,relu,32,0.4854479908357011,4,3,0.00035218372593046857,16,1,8,32,1.1529924570330225e-06,COMPLETE
