number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_lr,params_mlp_depth,params_mlp_width,params_pls_components,params_weight_decay,state
0,0.49602543720190784,2026-09-22 09:03:20.701114,2026-09-22 09:03:22.774384,0 days 00:00:02.073270,gelu,8,0.16239780813448107,0.0003574712922600243,1,64,8,0.006351221010640704,COMPLETE
1,0.4260731319554849,2026-09-22 09:03:22.775385,2026-09-22 09:03:24.172923,0 days 00:00:01.397538,gelu,32,0.41407038455720546,0.0008012737503998541,3,128,24,3.6138942712165278e-06,COMPLETE
2,0.5071542130365659,2026-09-22 09:03:24.172923,2026-09-22 09:03:26.266657,0 days 00:00:02.093734,gelu,16,0.36500891374159283,0.00015144860262751404,3,256,6,9.565499215943819e-05,COMPLETE
3,0.45548489666136727,2026-09-22 09:03:26.266657,2026-09-22 09:03:29.155508,0 days 00:00:02.888851,gelu,8,0.31707843326329943,0.00037507963596256056,3,32,4,1.2172958098369984e-05,COMPLETE
4,0.5071542130365659,2026-09-22 09:03:29.156518,2026-09-22 09:03:31.121467,0 days 00:00:01.964949,relu,8,0.23007332881069884,0.0018832519048593583,2,32,2,0.0003113095956122125,COMPLETE
5,0.5461049284578696,2026-09-22 09:03:31.121467,2026-09-22 09:03:32.615694,0 days 00:00:01.494227,gelu,32,0.19971689165954998,0.00011128194768838959,3,128,12,0.00035127047262708476,COMPLETE
6,0.4618441971383148,2026-09-22 09:03:32.615694,2026-09-22 09:03:33.312548,0 days 00:00:00.696854,gelu,8,0.27084311545050255,0.001558428978238547,1,256,24,0.003840300419098858,PRUNED
7,0.4912559618441972,2026-09-22 09:03:33.312548,2026-09-22 09:03:33.968009,0 days 00:00:00.655461,relu,8,0.11475477894181313,0.0026402883285404338,1,64,24,1.0165510266418738e-05,PRUNED
8,0.42130365659777425,2026-09-22 09:03:33.968009,2026-09-22 09:03:34.573306,0 days 00:00:00.605297,relu,8,0.43412099823569517,0.0003493496258511927,1,128,6,0.00033823872019362184,PRUNED
9,0.4753577106518283,2026-09-22 09:03:34.573306,2026-09-22 09:03:35.500850,0 days 00:00:00.927544,relu,8,0.3639936184136716,0.0003190041672417553,2,64,12,2.843767489444368e-06,PRUNED
