number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_depth_multiplier,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_weight_decay,params_width_multiplier,state
0,0.4912559618441972,2026-09-22 09:05:59.794433,2026-09-22 09:06:12.121459,0 days 00:00:12.327026,gelu,8,2,0.16239780813448107,5,0.0003574712922600243,8,8,0.006351221010640704,1.5,COMPLETE
1,0.48012718600953896,2026-09-22 09:06:12.121459,2026-09-22 09:06:14.635632,0 days 00:00:02.514173,relu,32,1,0.1185801650879991,3,0.000471705203762518,6,1,0.0013826232179369874,1.5,COMPLETE
2,0.5588235294117647,2026-09-22 09:06:14.636630,2026-09-22 09:06:22.095465,0 days 00:00:07.458835,gelu,8,1,0.4579309401710595,3,0.000642033033629786,24,1,5.4880470007660465e-06,1.5,COMPLETE
3,0.43243243243243246,2026-09-22 09:06:22.095465,2026-09-22 09:06:23.504233,0 days 00:00:01.408768,relu,32,1,0.12961786069363615,5,0.0001018959297939515,2,4,0.0018274508859816032,1.0,PRUNED
4,0.5023847376788553,2026-09-22 09:06:23.504233,2026-09-22 09:06:28.013645,0 days 00:00:04.509412,gelu,16,2,0.3545641645055122,3,0.0005917520523090669,2,4,5.1305517605898387e-05,1.0,PRUNED
5,0.6248012718600954,2026-09-22 09:06:28.013645,2026-09-22 09:06:39.146435,0 days 00:00:11.132790,gelu,8,2,0.27084311545050255,3,0.001558428978238547,24,4,0.003840300419098858,1.5,COMPLETE
6,0.5182829888712241,2026-09-22 09:06:39.146435,2026-09-22 09:06:51.003234,0 days 00:00:11.856799,relu,8,2,0.2114585856946446,3,0.0002634777514406047,6,1,1.4045842344024705e-06,0.5,PRUNED
7,0.5771065182829889,2026-09-22 09:06:51.003234,2026-09-22 09:07:06.130514,0 days 00:00:15.127280,relu,8,3,0.1905983100791752,3,0.00011487613841748918,6,8,0.00023097861492693574,0.5,COMPLETE
8,0.5,2026-09-22 09:07:06.130514,2026-09-22 09:07:07.968665,0 days 00:00:01.838151,relu,32,2,0.4588441039810308,3,0.002138093289022218,8,4,0.0003407264348530192,0.5,PRUNED
9,0.47297297297297297,2026-09-22 09:07:07.968665,2026-09-22 09:07:09.227255,0 days 00:00:01.258590,gelu,16,1,0.32732344133418867,3,0.000302450850735014,6,4,0.0009682012086882475,1.0,PRUNED
