number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_depth_multiplier,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_weight_decay,params_width_multiplier,state
0,0.4523809523809524,2026-09-22 09:11:15.450875,2026-09-22 09:11:25.508481,0 days 00:00:10.057606,gelu,8,2,0.16239780813448107,5,0.0003574712922600243,8,8,0.006351221010640704,1.5,COMPLETE
1,0.49783549783549785,2026-09-22 09:11:25.508481,2026-09-22 09:11:27.916416,0 days 00:00:02.407935,relu,32,1,0.1185801650879991,3,0.000471705203762518,6,1,0.0013826232179369874,1.5,COMPLETE
2,0.5454545454545454,2026-09-22 09:11:27.916416,2026-09-22 09:11:38.613329,0 days 00:00:10.696913,gelu,8,1,0.4579309401710595,3,0.000642033033629786,24,1,5.4880470007660465e-06,1.5,COMPLETE
3,0.5054112554112554,2026-09-22 09:11:38.613329,2026-09-22 09:11:41.011916,0 days 00:00:02.398587,relu,32,1,0.12961786069363615,5,0.0001018959297939515,2,4,0.0018274508859816032,1.0,COMPLETE
4,0.5216450216450216,2026-09-22 09:11:41.011916,2026-09-22 09:11:50.022565,0 days 00:00:09.010649,gelu,16,2,0.3545641645055122,3,0.0005917520523090669,2,4,5.1305517605898387e-05,1.0,COMPLETE
5,0.47619047619047616,2026-09-22 09:11:50.022565,2026-09-22 09:11:52.939743,0 days 00:00:02.917178,gelu,8,2,0.27084311545050255,3,0.001558428978238547,24,4,0.003840300419098858,1.5,PRUNED
6,0.5,2026-09-22 09:11:52.939743,2026-09-22 09:12:08.368459,0 days 00:00:15.428716,relu,8,2,0.2114585856946446,3,0.0002634777514406047,6,1,1.4045842344024705e-06,0.5,PRUNED
7,0.5432900432900433,2026-09-22 09:12:08.368459,2026-09-22 09:12:23.769082,0 days 00:00:15.400623,relu,8,3,0.1905983100791752,3,0.00011487613841748918,6,8,0.00023097861492693574,0.5,COMPLETE
8,0.4880952380952381,2026-09-22 09:12:23.769082,2026-09-22 09:12:28.244331,0 days 00:00:04.475249,relu,32,2,0.4588441039810308,3,0.002138093289022218,8,4,0.0003407264348530192,0.5,PRUNED
9,0.5454545454545454,2026-09-22 09:12:28.244331,2026-09-22 09:12:32.628930,0 days 00:00:04.384599,gelu,16,1,0.32732344133418867,3,0.000302450850735014,6,4,0.0009682012086882475,1.0,COMPLETE
