number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_fire_blocks,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_squeeze_ratio,params_squeeze_width,params_weight_decay,state
0,0.5,2026-09-22 09:12:52.716579,2026-09-22 09:13:01.390356,0 days 00:00:08.673777,gelu,8,0.16239780813448107,3,5,0.0003574712922600243,8,4,4,32,0.006351221010640704,COMPLETE
1,0.49783549783549785,2026-09-22 09:13:01.390356,2026-09-22 09:13:05.209670,0 days 00:00:03.819314,gelu,16,0.12602063719411183,3,5,0.0005748924681991981,2,4,8,16,0.00023423849847112912,COMPLETE
2,0.5,2026-09-22 09:13:05.209670,2026-09-22 09:13:09.256480,0 days 00:00:04.046810,relu,16,0.23013213230530574,2,3,0.0007641361869233315,2,8,2,8,0.0048696409415209,COMPLETE
3,0.48593073593073594,2026-09-22 09:13:09.256480,2026-09-22 09:13:11.440877,0 days 00:00:02.184397,gelu,32,0.39184247133522565,2,5,0.0008330803890301997,16,8,4,8,2.106648601704221e-05,COMPLETE
4,0.49783549783549785,2026-09-22 09:13:11.440877,2026-09-22 09:13:14.185994,0 days 00:00:02.745117,gelu,32,0.4232481518257668,4,3,0.00021775224101934097,16,8,2,32,2.031980983842497e-06,COMPLETE
5,0.4956709956709957,2026-09-22 09:13:14.185994,2026-09-22 09:13:16.019843,0 days 00:00:01.833849,gelu,32,0.48497891797684456,3,3,0.00030019946952402954,8,1,2,8,0.00011889469769530483,COMPLETE
6,0.5,2026-09-22 09:13:16.019843,2026-09-22 09:13:21.253833,0 days 00:00:05.233990,gelu,16,0.1746074041599417,3,5,0.000862581622692092,24,1,4,16,0.00013902686711035023,COMPLETE
7,0.49134199134199136,2026-09-22 09:13:21.253833,2026-09-22 09:13:25.113795,0 days 00:00:03.859962,gelu,16,0.2356119164194803,3,3,0.000227638208665269,24,4,8,8,2.3572794556769826e-06,COMPLETE
8,0.5097402597402597,2026-09-22 09:13:25.113795,2026-09-22 09:13:29.798444,0 days 00:00:04.684649,gelu,16,0.32732344133418867,2,3,0.000302450850735014,6,4,2,16,0.0009682012086882475,COMPLETE
9,0.48593073593073594,2026-09-22 09:13:29.798444,2026-09-22 09:13:31.247858,0 days 00:00:01.449414,relu,32,0.4854479908357011,4,3,0.00035218372593046857,16,1,8,32,1.1529924570330225e-06,PRUNED
