number,value,datetime_start,datetime_complete,duration,params_activation,params_base_channels,params_batch_size,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_residual_blocks,params_weight_decay,state
0,0.594752948201224,2026-09-22 09:15:44.143043,2026-09-22 09:16:07.685556,0 days 00:00:23.542513,gelu,64,8,0.16239780813448107,7,0.0003574712922600243,8,8,1,0.006351221010640704,COMPLETE
1,0.6007239886550232,2026-09-22 09:16:07.685556,2026-09-22 09:16:21.626631,0 days 00:00:13.941075,relu,32,16,0.34301794076057535,3,0.0014447746112718689,4,4,1,6.290644294586145e-06,COMPLETE
2,0.6157635467980296,2026-09-22 09:16:21.626631,2026-09-22 09:16:48.161784,0 days 00:00:26.535153,gelu,64,8,0.4687496940092467,5,0.0027051668818999287,12,4,1,0.001260466458564947,COMPLETE
3,0.5,2026-09-22 09:16:48.161784,2026-09-22 09:16:56.268177,0 days 00:00:08.106393,relu,64,16,0.4452413703502375,5,0.001193526270851053,16,1,2,0.0012164139351417069,PRUNED
4,0.5,2026-09-22 09:16:56.268177,2026-09-22 09:17:03.202584,0 days 00:00:06.934407,gelu,16,32,0.19971689165954998,3,0.00011128194768838959,12,1,3,0.00035127047262708476,PRUNED
5,0.5025003731900284,2026-09-22 09:17:03.202584,2026-09-22 09:17:14.588221,0 days 00:00:11.385637,relu,16,8,0.2669644012595116,3,0.000427454597625198,24,1,2,0.0018709365688887364,PRUNED
6,0.5317584714136439,2026-09-22 09:17:14.588221,2026-09-22 09:17:17.988041,0 days 00:00:03.399820,gelu,16,32,0.19682210860460017,7,0.0021959317857485673,4,8,1,9.083381663660597e-06,PRUNED
7,0.50824749962681,2026-09-22 09:17:17.988041,2026-09-22 09:17:29.470446,0 days 00:00:11.482405,gelu,64,16,0.23642654042010341,3,0.00018095073787215783,2,1,3,0.0005804314717414074,PRUNED
8,0.5375055978504255,2026-09-22 09:17:29.470446,2026-09-22 09:17:39.235036,0 days 00:00:09.764590,gelu,64,16,0.10367882064665186,5,0.0008878888265538121,24,4,2,2.170500348871115e-06,PRUNED
9,0.5057471264367817,2026-09-22 09:17:39.235036,2026-09-22 09:17:49.213734,0 days 00:00:09.978698,gelu,32,16,0.41792452141665937,7,0.00022929906728696718,6,1,2,0.007799059237255683,PRUNED
