number,value,datetime_start,datetime_complete,duration,params_C,params_activation,params_batch_size,params_dropout,params_gamma,params_gamma_mode,params_kernel,params_lr,params_pls_components,params_weight_decay,state
0,0.48895357516047167,2026-09-22 09:13:39.889127,2026-09-22 09:13:40.594785,0 days 00:00:00.705658,1.40779231399724,gelu,8,0.16239780813448107,4.982752357076453e-06,numeric,rbf,0.0003574712922600243,8,0.006351221010640704,COMPLETE
1,0.7733990147783252,2026-09-22 09:13:40.594785,2026-09-22 09:13:41.312456,0 days 00:00:00.717671,0.4374364439939078,relu,16,0.3056937753654446,,auto,rbf,0.00027010527749605503,12,2.9204338471814107e-05,COMPLETE
2,0.7501492760113451,2026-09-22 09:13:41.312456,2026-09-22 09:13:41.925096,0 days 00:00:00.612640,0.21481457181982683,gelu,8,0.31868411173731187,,auto,rbf,0.0022038218939289885,4,1.0842262717330169e-05,COMPLETE
3,0.8303478131064338,2026-09-22 09:13:41.925096,2026-09-22 09:13:42.551952,0 days 00:00:00.626856,5.492736444508448,relu,16,0.4947547746402069,,scale,rbf,0.00026000059117302663,4,0.00014817820606039095,COMPLETE
4,0.5229885057471264,2026-09-22 09:13:42.551952,2026-09-22 09:13:42.801767,0 days 00:00:00.249815,0.0769371131264886,gelu,16,0.14783769837532068,,auto,rbf,0.0003022283475646735,4,0.000828752236376816,PRUNED
5,0.8878190774742498,2026-09-22 09:13:42.801767,2026-09-22 09:13:43.319395,0 days 00:00:00.517628,0.004574162058025036,relu,32,0.16448851490160177,0.020121155449063854,numeric,linear,0.0004038176882071838,12,0.001052457468133564,COMPLETE
6,0.8805791909240185,2026-09-22 09:13:43.319395,2026-09-22 09:13:43.809891,0 days 00:00:00.490496,0.0016646452049870533,relu,8,0.2350460685614512,,scale,linear,0.00010239273411172726,8,0.00011040511903162256,COMPLETE
7,0.5344827586206896,2026-09-22 09:13:43.809891,2026-09-22 09:13:44.052427,0 days 00:00:00.242536,0.08407761618357402,gelu,32,0.49426018164424035,0.0024424282201158257,numeric,rbf,0.00025798509464504095,2,0.004295992790539129,PRUNED
8,0.8191147932527243,2026-09-22 09:13:44.052427,2026-09-22 09:13:44.525994,0 days 00:00:00.473567,1.506272232520005,gelu,16,0.37637509524098645,0.031775345821188294,numeric,linear,0.00010580403601696646,8,0.0001117820920069873,COMPLETE
9,0.6177041349455142,2026-09-22 09:13:44.525994,2026-09-22 09:13:44.790310,0 days 00:00:00.264316,1.960662020009781,relu,32,0.45483456970604697,,scale,rbf,0.0008613261227615091,6,2.270487755790923e-05,PRUNED
