number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_fire_blocks,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_squeeze_ratio,params_squeeze_width,params_weight_decay,state
0,0.5427302582474997,2026-09-22 09:29:23.735433,2026-09-22 09:29:57.650144,0 days 00:00:33.914711,gelu,8,0.16239780813448107,3,5,0.0003574712922600243,8,4,4,32,0.006351221010640704,COMPLETE
1,0.5139946260635916,2026-09-22 09:29:57.650144,2026-09-22 09:30:11.480965,0 days 00:00:13.830821,gelu,16,0.12602063719411183,3,5,0.0005748924681991981,2,4,8,16,0.00023423849847112912,COMPLETE
2,0.5,2026-09-22 09:30:11.480965,2026-09-22 09:30:25.057555,0 days 00:00:13.576590,relu,16,0.23013213230530574,2,3,0.0007641361869233315,2,8,2,8,0.0048696409415209,COMPLETE
3,0.5,2026-09-22 09:30:25.058563,2026-09-22 09:30:27.998482,0 days 00:00:02.939919,gelu,32,0.39184247133522565,2,5,0.0008330803890301997,16,8,4,8,2.106648601704221e-05,PRUNED
4,0.4967532467532468,2026-09-22 09:30:27.998482,2026-09-22 09:30:31.465881,0 days 00:00:03.467399,gelu,32,0.4232481518257668,4,3,0.00021775224101934097,16,8,2,32,2.031980983842497e-06,PRUNED
5,0.5,2026-09-22 09:30:31.465881,2026-09-22 09:30:33.303765,0 days 00:00:01.837884,gelu,32,0.48497891797684456,3,3,0.00030019946952402954,8,1,2,8,0.00011889469769530483,PRUNED
6,0.5057471264367817,2026-09-22 09:30:33.303765,2026-09-22 09:30:41.108353,0 days 00:00:07.804588,gelu,16,0.1746074041599417,3,5,0.000862581622692092,24,1,4,16,0.00013902686711035023,PRUNED
7,0.4940289595462009,2026-09-22 09:30:41.108353,2026-09-22 09:30:45.361286,0 days 00:00:04.252933,gelu,16,0.2356119164194803,3,3,0.000227638208665269,24,4,8,8,2.3572794556769826e-06,PRUNED
8,0.5,2026-09-22 09:30:45.361286,2026-09-22 09:30:52.938291,0 days 00:00:07.577005,gelu,16,0.32732344133418867,2,3,0.000302450850735014,6,4,2,16,0.0009682012086882475,PRUNED
9,0.4997760859829825,2026-09-22 09:30:52.938291,2026-09-22 09:30:57.263576,0 days 00:00:04.325285,relu,32,0.4854479908357011,4,3,0.00035218372593046857,16,1,8,32,1.1529924570330225e-06,PRUNED
