number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_lr,params_mlp_depth,params_mlp_width,params_pls_components,params_weight_decay,state
0,0.8465738249723057,2026-09-22 09:32:01.913395,2026-09-22 09:32:16.880858,0 days 00:00:14.967463,gelu,8,0.16239780813448107,0.0003574712922600243,1,64,8,0.006351221010640704,COMPLETE
1,0.8409558474442158,2026-09-22 09:32:16.880858,2026-09-22 09:32:21.234424,0 days 00:00:04.353566,gelu,32,0.41407038455720546,0.0008012737503998541,3,128,24,3.6138942712165278e-06,COMPLETE
2,0.8493828137363506,2026-09-22 09:32:21.234424,2026-09-22 09:32:29.376888,0 days 00:00:08.142464,gelu,16,0.36500891374159283,0.00015144860262751404,3,256,6,9.565499215943819e-05,COMPLETE
3,0.8747032758347839,2026-09-22 09:32:29.376888,2026-09-22 09:32:51.725767,0 days 00:00:22.348879,gelu,8,0.31707843326329943,0.00037507963596256056,3,32,4,1.2172958098369984e-05,COMPLETE
4,0.6507358759297357,2026-09-22 09:32:51.725767,2026-09-22 09:32:57.590169,0 days 00:00:05.864402,relu,8,0.23007332881069884,0.0018832519048593583,2,32,2,0.0003113095956122125,PRUNED
5,0.6507358759297357,2026-09-22 09:32:57.590169,2026-09-22 09:33:00.858552,0 days 00:00:03.268383,gelu,32,0.19971689165954998,0.00011128194768838959,3,128,12,0.00035127047262708476,PRUNED
6,0.870509574299731,2026-09-22 09:33:00.858552,2026-09-22 09:33:09.246006,0 days 00:00:08.387454,gelu,8,0.27084311545050255,0.001558428978238547,1,256,24,0.003840300419098858,COMPLETE
7,0.9000633011552461,2026-09-22 09:33:09.246006,2026-09-22 09:33:17.563581,0 days 00:00:08.317575,relu,8,0.11475477894181313,0.0026402883285404338,1,64,24,1.0165510266418738e-05,COMPLETE
8,0.8775518278208577,2026-09-22 09:33:17.563581,2026-09-22 09:33:32.812625,0 days 00:00:15.249044,relu,8,0.43412099823569517,0.0003493496258511927,1,128,6,0.00033823872019362184,COMPLETE
9,0.7282006646621301,2026-09-22 09:33:32.812625,2026-09-22 09:33:43.250383,0 days 00:00:10.437758,relu,8,0.3639936184136716,0.0003190041672417553,2,64,12,2.843767489444368e-06,PRUNED
