number,value,datetime_start,datetime_complete,duration,params_activation,params_base_channels,params_batch_size,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_residual_blocks,params_weight_decay,state
0,0.6972622250356069,2026-09-22 09:34:05.598036,2026-09-22 09:34:32.843596,0 days 00:00:27.245560,gelu,64,8,0.16239780813448107,7,0.0003574712922600243,8,8,1,0.006351221010640704,COMPLETE
1,0.5620351321411616,2026-09-22 09:34:32.843596,2026-09-22 09:34:56.649110,0 days 00:00:23.805514,relu,32,16,0.34301794076057535,3,0.0014447746112718689,4,4,1,6.290644294586145e-06,COMPLETE
2,0.559344833043203,2026-09-22 09:34:56.649110,2026-09-22 09:35:31.351082,0 days 00:00:34.701972,gelu,64,8,0.4687496940092467,5,0.0027051668818999287,12,4,1,0.001260466458564947,COMPLETE
3,0.5070422535211268,2026-09-22 09:35:31.351082,2026-09-22 09:35:44.693148,0 days 00:00:13.342066,relu,64,16,0.4452413703502375,5,0.001193526270851053,16,1,2,0.0012164139351417069,PRUNED
4,0.5042332647570819,2026-09-22 09:35:44.693148,2026-09-22 09:35:54.117656,0 days 00:00:09.424508,gelu,16,32,0.19971689165954998,3,0.00011128194768838959,12,1,3,0.00035127047262708476,PRUNED
5,0.5070422535211268,2026-09-22 09:35:54.117656,2026-09-22 09:36:12.104184,0 days 00:00:17.986528,relu,16,8,0.2669644012595116,3,0.000427454597625198,24,1,2,0.0018709365688887364,PRUNED
6,0.6931080867225827,2026-09-22 09:36:12.104184,2026-09-22 09:36:21.407881,0 days 00:00:09.303697,gelu,16,32,0.19682210860460017,7,0.0021959317857485673,4,8,1,9.083381663660597e-06,COMPLETE
7,0.5070422535211268,2026-09-22 09:36:21.407881,2026-09-22 09:36:33.194071,0 days 00:00:11.786190,gelu,64,16,0.23642654042010341,3,0.00018095073787215783,2,1,3,0.0005804314717414074,PRUNED
8,0.536754233264757,2026-09-22 09:36:33.194071,2026-09-22 09:36:41.918928,0 days 00:00:08.724857,gelu,64,16,0.10367882064665186,5,0.0008878888265538121,24,4,2,2.170500348871115e-06,PRUNED
9,0.5042332647570819,2026-09-22 09:36:41.918928,2026-09-22 09:36:51.643039,0 days 00:00:09.724111,gelu,32,16,0.41792452141665937,7,0.00022929906728696718,6,1,2,0.007799059237255683,PRUNED
