number,value,datetime_start,datetime_complete,duration,params_activation,params_base_channels,params_batch_size,params_bottleneck,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_recon_weight,params_residual_blocks,params_weight_decay,state
0,0.7353220446273145,2026-09-22 09:37:59.877033,2026-09-22 09:38:37.268676,0 days 00:00:37.391643,gelu,64,8,16,0.16239780813448107,7,0.0003574712922600243,8,8,0.009290082543999545,1,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 09:38:37.268676,2026-09-22 09:38:57.439468,0 days 00:00:20.170792,relu,16,32,16,0.4233589392465845,7,0.0007896186801026692,16,1,0.06506606615265287,3,4.809461967501575e-06,COMPLETE
2,0.5338265548346257,2026-09-22 09:38:57.439468,2026-09-22 09:39:52.051957,0 days 00:00:54.612489,gelu,32,8,128,0.31707843326329943,7,0.00037507963596256056,4,1,0.09444298503238986,2,1.2172958098369984e-05,COMPLETE
3,0.550759613862953,2026-09-22 09:39:52.051957,2026-09-22 09:40:04.115933,0 days 00:00:12.063976,relu,64,32,128,0.2975182385457563,7,0.00015019490572374368,24,1,0.10786844838313014,1,0.0007128188058401369,COMPLETE
4,0.5070422535211268,2026-09-22 09:40:04.115933,2026-09-22 09:40:17.632283,0 days 00:00:13.516350,gelu,64,8,32,0.27084311545050255,5,0.001558428978238547,24,1,0.05572929284732229,1,0.003840300419098858,PRUNED
5,0.7057683177717993,2026-09-22 09:40:17.632283,2026-09-22 09:40:27.817280,0 days 00:00:10.184997,gelu,16,32,128,0.19682210860460017,7,0.0021959317857485673,4,8,0.027504188829198653,1,9.083381663660597e-06,COMPLETE
6,0.5958221237537585,2026-09-22 09:40:27.817280,2026-09-22 09:41:09.770866,0 days 00:00:41.953586,relu,64,8,64,0.3639936184136716,3,0.0003190041672417553,12,4,0.03216161028349973,1,2.843767489444368e-06,COMPLETE
7,0.5197420477923722,2026-09-22 09:41:09.770866,2026-09-22 09:41:17.410204,0 days 00:00:07.639338,gelu,32,32,16,0.19489963499872004,3,0.0006464669746492403,4,1,0.03542213588140979,2,0.0005855726588796257,PRUNED
8,0.5085060927361924,2026-09-22 09:41:17.410204,2026-09-22 09:41:44.577411,0 days 00:00:27.167207,gelu,32,8,16,0.4713274250350902,7,0.0024500297851058135,2,8,0.058718368852898675,3,0.006542056762893132,PRUNED
9,0.5,2026-09-22 09:41:44.577411,2026-09-22 09:41:51.702582,0 days 00:00:07.125171,relu,64,16,32,0.30060651787487985,5,0.0015686446242335742,6,1,0.0170694929987536,1,0.0017396167422846992,PRUNED
