Protocol,ProtocolKey,Cohort,Side,Model,EvalSeed,OptunaTrials,BestOOF_BalancedAccuracy,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,BestParams,RunDir,Threshold_OOF,Test_Accuracy_Tuned,Test_BalancedAccuracy_Tuned,Test_Sensitivity_Tuned,Test_Specificity_Tuned,Test_F1_Macro_Tuned,Test_ROC_AUC_Tuned,Test_PR_AUC_Tuned
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,SVM,42,10,0.8068868304470398,0.8378378378378378,0.8221153846153846,0.7692307692307693,0.875,0.8221153846153846,0.8509615384615385,"{""C"": 1.1400863701127328, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\SVM\seed_42,0.44,0.8108108108108109,0.8012820512820513,0.7692307692307693,0.8333333333333334,0.7959022852639874,0.8509615384615385,0.8195912441863658
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,SVM,123,10,0.8068868304470398,0.8243243243243243,0.811698717948718,0.7692307692307693,0.8541666666666666,0.8089374379344587,0.8453525641025641,"{""C"": 1.1400863701127328, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\SVM\seed_123,0.44,0.8108108108108109,0.8100961538461539,0.8076923076923077,0.8125,0.798913043478261,0.8453525641025641,0.8263649197518743
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,SVM,2026,10,0.8068868304470398,0.8783783783783784,0.8621794871794872,0.8076923076923077,0.9166666666666666,0.8653729533050333,0.90625,"{""C"": 1.1400863701127328, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\SVM\seed_2026,0.44,0.8648648648648649,0.8693910256410255,0.8846153846153846,0.8541666666666666,0.8563664596273293,0.90625,0.8857988146491161
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,MLP,42,10,0.8453483689085783,0.7702702702702703,0.7612179487179487,0.7307692307692307,0.7916666666666666,0.75405669599218,0.8108974358974359,"{""batch_size"": 32, ""dropout"": 0.4233589392465845, ""lr"": 0.0007896186801026692, ""weight_decay"": 4.809461967501575e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\MLP\seed_42,0.31,0.7432432432432432,0.749198717948718,0.7692307692307693,0.7291666666666666,0.7322414778137498,0.8108974358974359,0.7638688977411867
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,MLP,123,10,0.8453483689085783,0.7027027027027027,0.7003205128205128,0.6923076923076923,0.7083333333333334,0.6881226053639847,0.7916666666666667,"{""batch_size"": 32, ""dropout"": 0.4233589392465845, ""lr"": 0.0007896186801026692, ""weight_decay"": 4.809461967501575e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\MLP\seed_123,0.31,0.6891891891891891,0.6899038461538461,0.6923076923076923,0.6875,0.6758712626166444,0.7916666666666667,0.7619073201602515
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,MLP,2026,10,0.8453483689085783,0.7837837837837838,0.780448717948718,0.7692307692307693,0.7916666666666666,0.7701863354037266,0.8613782051282052,"{""batch_size"": 32, ""dropout"": 0.4233589392465845, ""lr"": 0.0007896186801026692, ""weight_decay"": 4.809461967501575e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\MLP\seed_2026,0.31,0.7702702702702703,0.7700320512820513,0.7692307692307693,0.7708333333333334,0.7574705995758627,0.8613782051282052,0.8477140810538685
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,ResNet,42,10,0.648283326621023,0.6486486486486487,0.5881410256410257,0.3846153846153846,0.7916666666666666,0.5899403239556693,0.5897435897435898,"{""batch_size"": 32, ""dropout"": 0.1185801650879991, ""lr"": 0.000471705203762518, ""weight_decay"": 0.0013826232179369874}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\ResNet\seed_42,0.36,0.6216216216216216,0.5673076923076923,0.38461538461538464,0.75,0.5683333333333332,0.5897435897435898,0.5044248371546137
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,ResNet,123,10,0.648283326621023,0.6756756756756757,0.608974358974359,0.3846153846153846,0.8333333333333334,0.6118881118881119,0.6971153846153846,"{""batch_size"": 32, ""dropout"": 0.1185801650879991, ""lr"": 0.000471705203762518, ""weight_decay"": 0.0013826232179369874}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\ResNet\seed_123,0.36,0.6621621621621622,0.6073717948717948,0.4230769230769231,0.7916666666666666,0.6102801769538656,0.6971153846153846,0.5822752051981864
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,ResNet,2026,10,0.648283326621023,0.6756756756756757,0.6266025641025641,0.4615384615384615,0.7916666666666666,0.6299999999999999,0.6818910256410257,"{""batch_size"": 32, ""dropout"": 0.1185801650879991, ""lr"": 0.000471705203762518, ""weight_decay"": 0.0013826232179369874}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\ResNet\seed_2026,0.36,0.6621621621621622,0.6338141025641025,0.5384615384615384,0.7291666666666666,0.6325719960278053,0.6818910256410257,0.5738527593093363
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,ResNetAE,42,10,0.6535189287152638,0.6351351351351351,0.5865384615384616,0.4230769230769231,0.75,0.5881261595547309,0.6314102564102565,"{""batch_size"": 32, ""dropout"": 0.1798695128633439, ""lr"": 0.000160712385120399, ""recon_weight"": 0.04666963767236924, ""weight_decay"": 1.4742753159914662e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef\left\ResNetAE\seed_42,0.295,0.527027027027027,0.5472756410256411,0.6153846153846154,0.4791666666666667,0.5227565874332044,0.6314102564102565,0.5372243536125325
