Protocol,ProtocolKey,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy,BestParams,StudyDir
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,SVM,10,6,0.8068868304470398,"{""C"": 1.1400863701127328, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\left\SVM
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,MLP,10,5,0.8453483689085783,"{""batch_size"": 32, ""dropout"": 0.4233589392465845, ""lr"": 0.0007896186801026692, ""weight_decay"": 4.809461967501575e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\left\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,ResNet,10,4,0.648283326621023,"{""batch_size"": 32, ""dropout"": 0.1185801650879991, ""lr"": 0.000471705203762518, ""weight_decay"": 0.0013826232179369874}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\left\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,ResNetAE,10,3,0.6535189287152638,"{""batch_size"": 32, ""dropout"": 0.1798695128633439, ""lr"": 0.000160712385120399, ""recon_weight"": 0.04666963767236924, ""weight_decay"": 1.4742753159914662e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\left\ResNetAE
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,MobileNet,10,8,0.7120670559806686,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\left\MobileNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,SqueezeNet,10,3,0.5279903342730567,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\left\SqueezeNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,SVM,10,1,0.8065410199556542,"{""C"": 29.154431891537552, ""gamma_mode"": ""scale""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\right\SVM
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,MLP,10,2,0.8514966740576497,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\right\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,ResNet,10,3,0.6792128603104213,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\right\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,ResNetAE,10,0,0.6388026607538803,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""recon_weight"": 0.011900590783184251, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\right\ResNetAE
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,MobileNet,10,8,0.6915188470066519,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\right\MobileNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,SqueezeNet,10,1,0.5,"{""batch_size"": 16, ""dropout"": 0.4879639408647978, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\right\SqueezeNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,SVM,10,9,0.5373608903020668,"{""C"": 0.030771802712506867, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\SVM
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,MLP,10,0,0.5548489666136726,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,ResNet,10,0,0.5588235294117647,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,ResNetAE,10,4,0.5771065182829889,"{""batch_size"": 8, ""dropout"": 0.4795542149013333, ""lr"": 0.000750011895041699, ""recon_weight"": 0.18043311207136256, ""weight_decay"": 1.5339162591163623e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\ResNetAE
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,MobileNet,10,4,0.5635930047694754,"{""batch_size"": 32, ""dropout"": 0.1185801650879991, ""lr"": 0.000471705203762518, ""weight_decay"": 0.0013826232179369874}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\MobileNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,SqueezeNet,10,2,0.5182829888712241,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\SqueezeNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,SVM,10,3,0.5021645021645021,"{""C"": 0.05415244119402541, ""gamma_mode"": ""scale""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\SVM
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,MLP,10,2,0.579004329004329,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,ResNet,10,8,0.5909090909090909,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,ResNetAE,10,5,0.5909090909090909,"{""batch_size"": 16, ""dropout"": 0.14881529393791154, ""lr"": 0.0015635108708133452, ""recon_weight"": 0.04407984038169244, ""weight_decay"": 1.6536937182824424e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\ResNetAE
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,MobileNet,10,2,0.5454545454545454,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\MobileNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,SqueezeNet,10,3,0.5,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\SqueezeNet
