number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.7924637535239629,2026-09-22 00:54:05.274098,2026-09-22 00:54:27.378322,0 days 00:00:22.104224,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.804696939186468,2026-09-22 00:54:27.378322,2026-09-22 00:54:41.356532,0 days 00:00:13.978210,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8213099073701168,2026-09-22 00:54:41.356532,2026-09-22 00:54:45.321442,0 days 00:00:03.964910,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.8265455094643577,2026-09-22 00:54:45.321442,2026-09-22 00:55:00.330100,0 days 00:00:15.008658,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.8134565042287556,2026-09-22 00:55:00.330100,2026-09-22 00:55:06.658123,0 days 00:00:06.328023,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.8453483689085783,2026-09-22 00:55:06.658123,2026-09-22 00:55:11.591303,0 days 00:00:04.933180,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.6289518727345953,2026-09-22 00:55:11.591303,2026-09-22 00:55:17.350044,0 days 00:00:05.758741,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6189085783326621,2026-09-22 00:55:17.350044,2026-09-22 00:55:22.789827,0 days 00:00:05.439783,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6289518727345953,2026-09-22 00:55:22.789827,2026-09-22 00:55:28.218028,0 days 00:00:05.428201,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6311417639951671,2026-09-22 00:55:28.218028,2026-09-22 00:55:30.504450,0 days 00:00:02.286422,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
