number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6316200161095449,2026-09-22 01:02:13.819570,2026-09-22 01:02:53.528864,0 days 00:00:39.709294,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5135672573499799,2026-09-22 01:02:53.528864,2026-09-22 01:03:18.685413,0 days 00:00:25.156549,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6294804671768023,2026-09-22 01:03:18.685413,2026-09-22 01:03:30.366610,0 days 00:00:11.681197,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5839710028191704,2026-09-22 01:03:30.366610,2026-09-22 01:03:57.046135,0 days 00:00:26.679525,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5655960531614982,2026-09-22 01:03:57.046135,2026-09-22 01:04:04.243246,0 days 00:00:07.197111,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5419855014095851,2026-09-22 01:04:04.243246,2026-09-22 01:04:08.662885,0 days 00:00:04.419639,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5581705598066855,2026-09-22 01:04:08.662885,2026-09-22 01:04:27.049193,0 days 00:00:18.386308,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5087595650422876,2026-09-22 01:04:27.049193,2026-09-22 01:04:36.239399,0 days 00:00:09.190206,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.7120670559806686,2026-09-22 01:04:36.239399,2026-09-22 01:05:30.377798,0 days 00:00:54.138399,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.6932641965364479,2026-09-22 01:05:30.377798,2026-09-22 01:05:54.503925,0 days 00:00:24.126127,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
