number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6395741039065647,2026-09-22 00:55:35.671229,2026-09-22 00:56:14.936657,0 days 00:00:39.265428,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.555552758759565,2026-09-22 00:56:14.936657,2026-09-22 00:56:35.905914,0 days 00:00:20.969257,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.528569271043093,2026-09-22 00:56:35.905914,2026-09-22 00:56:43.935898,0 days 00:00:08.029984,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5350382601691502,2026-09-22 00:56:43.935898,2026-09-22 00:56:58.389001,0 days 00:00:14.453103,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.648283326621023,2026-09-22 00:56:58.389001,2026-09-22 00:57:11.197089,0 days 00:00:12.808088,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5149013290374547,2026-09-22 00:57:11.197089,2026-09-22 00:57:14.171824,0 days 00:00:02.974735,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.531942207007652,2026-09-22 00:57:14.171824,2026-09-22 00:57:32.747514,0 days 00:00:18.575690,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5809252919855014,2026-09-22 00:57:32.747514,2026-09-22 00:57:56.736767,0 days 00:00:23.989253,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.531086387434555,2026-09-22 00:57:56.736767,2026-09-22 00:58:09.485141,0 days 00:00:12.748374,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6176751913008458,2026-09-22 00:58:09.485141,2026-09-22 00:58:24.439164,0 days 00:00:14.954023,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
