number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.643047724526782,2026-09-22 00:58:34.604590,2026-09-22 00:59:17.355675,0 days 00:00:42.751085,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5661246476037052,2026-09-22 00:59:17.355675,2026-09-22 00:59:26.876279,0 days 00:00:09.520604,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.5787354007249296,2026-09-22 00:59:26.876279,2026-09-22 00:59:51.209662,0 days 00:00:24.333383,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.6535189287152638,2026-09-22 00:59:51.209662,2026-09-22 01:00:11.674896,0 days 00:00:20.465234,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,COMPLETE
4,0.5415575916230366,2026-09-22 01:00:11.674896,2026-09-22 01:00:25.003617,0 days 00:00:13.328721,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.5385622231171969,2026-09-22 01:00:25.003617,2026-09-22 01:00:31.662075,0 days 00:00:06.658458,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.6268123238018526,2026-09-22 01:00:31.662075,2026-09-22 01:01:07.552901,0 days 00:00:35.890826,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,COMPLETE
7,0.6093435360451067,2026-09-22 01:01:07.552901,2026-09-22 01:01:40.161302,0 days 00:00:32.608401,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.5826369311316956,2026-09-22 01:01:40.161302,2026-09-22 01:01:48.525230,0 days 00:00:08.363928,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.6338099073701168,2026-09-22 01:01:48.525230,2026-09-22 01:02:01.759949,0 days 00:00:13.234719,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,COMPLETE
