number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.7758507853403142,2026-09-22 00:53:57.964719,2026-09-22 00:53:58.987255,0 days 00:00:01.022536,2.481040974867813,,auto,COMPLETE
1,0.778040676600886,2026-09-22 00:53:58.987255,2026-09-22 00:53:59.972476,0 days 00:00:00.985221,29.154431891537552,,scale,COMPLETE
2,0.7924637535239629,2026-09-22 00:53:59.972476,2026-09-22 00:54:01.020813,0 days 00:00:01.048337,75.7947995334801,,auto,COMPLETE
3,0.5428413209826822,2026-09-22 00:54:01.020813,2026-09-22 00:54:01.436885,0 days 00:00:00.416072,0.05415244119402541,,scale,PRUNED
4,0.5712595650422876,2026-09-22 00:54:01.436885,2026-09-22 00:54:01.835015,0 days 00:00:00.398130,0.14618962793704965,,auto,PRUNED
5,0.5834927507047926,2026-09-22 00:54:01.835015,2026-09-22 00:54:02.216209,0 days 00:00:00.381194,0.2920433847181412,,scale,PRUNED
6,0.8068868304470398,2026-09-22 00:54:02.216209,2026-09-22 00:54:03.211092,0 days 00:00:00.994883,1.1400863701127328,,auto,COMPLETE
7,0.5031463954893274,2026-09-22 00:54:03.211092,2026-09-22 00:54:03.618686,0 days 00:00:00.407594,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.586110551751913,2026-09-22 00:54:03.618686,2026-09-22 00:54:04.001790,0 days 00:00:00.383104,0.1653693718282443,,auto,PRUNED
9,0.5328483689085783,2026-09-22 00:54:04.001790,2026-09-22 00:54:04.419525,0 days 00:00:00.417735,0.030771802712506867,,auto,PRUNED
