number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5162354007249296,2026-09-22 01:06:28.966696,2026-09-22 01:07:10.573811,0 days 00:00:41.607115,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 01:07:10.573811,2026-09-22 01:07:22.856866,0 days 00:00:12.283055,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.49652637937978256,2026-09-22 01:07:22.856866,2026-09-22 01:07:33.323380,0 days 00:00:10.466514,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5279903342730567,2026-09-22 01:07:33.323380,2026-09-22 01:08:11.170869,0 days 00:00:37.847489,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-22 01:08:11.170869,2026-09-22 01:08:14.161765,0 days 00:00:02.990896,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5,2026-09-22 01:08:14.161765,2026-09-22 01:08:16.204205,0 days 00:00:02.042440,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5096153846153846,2026-09-22 01:08:16.204205,2026-09-22 01:08:24.381005,0 days 00:00:08.176800,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5,2026-09-22 01:08:24.381005,2026-09-22 01:08:28.879812,0 days 00:00:04.498807,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5,2026-09-22 01:08:28.879812,2026-09-22 01:08:43.890888,0 days 00:00:15.011076,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5,2026-09-22 01:08:43.890888,2026-09-22 01:08:52.382107,0 days 00:00:08.491219,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
