number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8263858093126386,2026-09-22 01:09:37.861198,2026-09-22 01:09:53.515319,0 days 00:00:15.654121,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8065410199556542,2026-09-22 01:09:53.515319,2026-09-22 01:10:08.882460,0 days 00:00:15.367141,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8514966740576497,2026-09-22 01:10:08.882460,2026-09-22 01:10:12.340998,0 days 00:00:03.458538,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6227827050997783,2026-09-22 01:10:12.340998,2026-09-22 01:10:16.881669,0 days 00:00:04.540671,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.628159645232816,2026-09-22 01:10:16.881669,2026-09-22 01:10:18.461126,0 days 00:00:01.579457,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.8424057649667406,2026-09-22 01:10:18.461126,2026-09-22 01:10:22.963567,0 days 00:00:04.502441,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.6205099778270511,2026-09-22 01:10:22.963567,2026-09-22 01:10:27.878445,0 days 00:00:04.914878,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.628159645232816,2026-09-22 01:10:27.878445,2026-09-22 01:10:33.399011,0 days 00:00:05.520566,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6205099778270511,2026-09-22 01:10:33.399011,2026-09-22 01:10:37.835665,0 days 00:00:04.436654,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6121396895787139,2026-09-22 01:10:37.835665,2026-09-22 01:10:40.657272,0 days 00:00:02.821607,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
