number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5901330376940133,2026-09-22 01:20:20.344851,2026-09-22 01:21:13.822280,0 days 00:00:53.477429,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.548059866962306,2026-09-22 01:21:13.822280,2026-09-22 01:21:49.314489,0 days 00:00:35.492209,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6800443458980044,2026-09-22 01:21:49.314489,2026-09-22 01:22:03.364810,0 days 00:00:14.050321,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6555432372505543,2026-09-22 01:22:03.364810,2026-09-22 01:22:47.036324,0 days 00:00:43.671514,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.540410199556541,2026-09-22 01:22:47.036324,2026-09-22 01:22:53.243869,0 days 00:00:06.207545,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6746674057649668,2026-09-22 01:22:53.243869,2026-09-22 01:23:11.656826,0 days 00:00:18.412957,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5534368070953437,2026-09-22 01:23:11.656826,2026-09-22 01:23:33.823061,0 days 00:00:22.166235,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5060975609756098,2026-09-22 01:23:33.823061,2026-09-22 01:23:46.891173,0 days 00:00:13.068112,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6915188470066519,2026-09-22 01:23:46.891173,2026-09-22 01:24:32.897491,0 days 00:00:46.006318,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.6404656319290465,2026-09-22 01:24:32.897491,2026-09-22 01:24:57.607677,0 days 00:00:24.710186,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
