number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6274390243902439,2026-09-22 01:10:47.296403,2026-09-22 01:11:32.074061,0 days 00:00:44.777658,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.6068736141906874,2026-09-22 01:11:32.074061,2026-09-22 01:12:09.441399,0 days 00:00:37.367338,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5505543237250554,2026-09-22 01:12:09.441399,2026-09-22 01:12:19.243424,0 days 00:00:09.802025,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6792128603104213,2026-09-22 01:12:19.243424,2026-09-22 01:13:08.931938,0 days 00:00:49.688514,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5847560975609756,2026-09-22 01:13:08.931938,2026-09-22 01:13:21.635725,0 days 00:00:12.703787,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6335365853658537,2026-09-22 01:13:21.635725,2026-09-22 01:13:38.379541,0 days 00:00:16.743816,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5335920177383592,2026-09-22 01:13:38.379541,2026-09-22 01:13:57.196199,0 days 00:00:18.816658,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5396895787139689,2026-09-22 01:13:57.196199,2026-09-22 01:14:08.943560,0 days 00:00:11.747361,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6343680709534368,2026-09-22 01:14:08.943560,2026-09-22 01:14:51.528983,0 days 00:00:42.585423,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.6176274944567628,2026-09-22 01:14:51.528983,2026-09-22 01:15:15.884917,0 days 00:00:24.355934,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
