number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.7859756097560975,2026-09-22 01:09:29.554602,2026-09-22 01:09:30.712112,0 days 00:00:01.157510,2.481040974867813,,auto,COMPLETE
1,0.8065410199556542,2026-09-22 01:09:30.712112,2026-09-22 01:09:31.878453,0 days 00:00:01.166341,29.154431891537552,,scale,COMPLETE
2,0.78980044345898,2026-09-22 01:09:31.878453,2026-09-22 01:09:33.040506,0 days 00:00:01.162053,75.7947995334801,,auto,COMPLETE
3,0.540410199556541,2026-09-22 01:09:33.041498,2026-09-22 01:09:33.532119,0 days 00:00:00.490621,0.05415244119402541,,scale,PRUNED
4,0.580820399113082,2026-09-22 01:09:33.532119,2026-09-22 01:09:33.949933,0 days 00:00:00.417814,0.14618962793704965,,auto,PRUNED
5,0.5861973392461197,2026-09-22 01:09:33.949933,2026-09-22 01:09:34.351298,0 days 00:00:00.401365,0.2920433847181412,,scale,PRUNED
6,0.798170731707317,2026-09-22 01:09:34.351298,2026-09-22 01:09:35.502566,0 days 00:00:01.151268,1.1400863701127328,,auto,COMPLETE
7,0.4975609756097561,2026-09-22 01:09:35.502566,2026-09-22 01:09:36.017840,0 days 00:00:00.515274,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.5708980044345898,2026-09-22 01:09:36.017840,2026-09-22 01:09:36.424137,0 days 00:00:00.406297,0.1653693718282443,,auto,PRUNED
9,0.5099223946784922,2026-09-22 01:09:36.424137,2026-09-22 01:09:36.943553,0 days 00:00:00.519416,0.030771802712506867,,auto,PRUNED
