number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.49772727272727274,2026-09-22 01:25:44.373064,2026-09-22 01:26:29.546122,0 days 00:00:45.173058,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 01:26:29.546122,2026-09-22 01:26:47.149088,0 days 00:00:17.602966,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5,2026-09-22 01:26:47.149088,2026-09-22 01:27:01.478655,0 days 00:00:14.329567,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5,2026-09-22 01:27:01.478655,2026-09-22 01:27:44.958255,0 days 00:00:43.479600,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-22 01:27:44.958255,2026-09-22 01:27:58.604672,0 days 00:00:13.646417,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5,2026-09-22 01:27:58.604672,2026-09-22 01:28:10.696883,0 days 00:00:12.092211,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5,2026-09-22 01:28:10.696883,2026-09-22 01:28:46.609838,0 days 00:00:35.912955,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5,2026-09-22 01:28:46.609838,2026-09-22 01:29:09.023360,0 days 00:00:22.413522,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.49772727272727274,2026-09-22 01:29:09.024360,2026-09-22 01:29:55.437978,0 days 00:00:46.413618,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.49772727272727274,2026-09-22 01:29:55.437978,2026-09-22 01:30:14.088108,0 days 00:00:18.650130,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
