number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5548489666136726,2026-09-22 01:30:33.087568,2026-09-22 01:30:35.541188,0 days 00:00:02.453620,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5548489666136726,2026-09-22 01:30:35.541188,2026-09-22 01:30:37.542905,0 days 00:00:02.001717,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.48012718600953896,2026-09-22 01:30:37.542905,2026-09-22 01:30:38.417231,0 days 00:00:00.874326,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.44594594594594594,2026-09-22 01:30:38.417231,2026-09-22 01:30:39.369146,0 days 00:00:00.951915,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5230524642289348,2026-09-22 01:30:39.369146,2026-09-22 01:30:40.721028,0 days 00:00:01.351882,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.45310015898251194,2026-09-22 01:30:40.721028,2026-09-22 01:30:41.760555,0 days 00:00:01.039527,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.534181240063593,2026-09-22 01:30:41.760555,2026-09-22 01:30:44.734906,0 days 00:00:02.974351,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5254372019077902,2026-09-22 01:30:44.734906,2026-09-22 01:30:47.549606,0 days 00:00:02.814700,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.4936406995230525,2026-09-22 01:30:47.549606,2026-09-22 01:30:48.613556,0 days 00:00:01.063950,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5182829888712241,2026-09-22 01:30:48.613556,2026-09-22 01:30:49.337007,0 days 00:00:00.723451,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
