number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5,2026-09-22 01:33:17.191239,2026-09-22 01:33:22.334089,0 days 00:00:05.142850,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.4848966613672496,2026-09-22 01:33:22.334089,2026-09-22 01:33:25.875202,0 days 00:00:03.541113,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5182829888712241,2026-09-22 01:33:25.875202,2026-09-22 01:33:28.583334,0 days 00:00:02.708132,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5047694753577107,2026-09-22 01:33:28.583334,2026-09-22 01:33:35.983550,0 days 00:00:07.400216,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.48966613672496023,2026-09-22 01:33:35.983550,2026-09-22 01:33:38.873205,0 days 00:00:02.889655,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.4737678855325914,2026-09-22 01:33:38.873205,2026-09-22 01:33:40.699510,0 days 00:00:01.826305,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.48012718600953896,2026-09-22 01:33:40.699510,2026-09-22 01:33:45.565414,0 days 00:00:04.865904,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.4984101748807631,2026-09-22 01:33:45.565414,2026-09-22 01:33:47.894308,0 days 00:00:02.328894,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5031796502384738,2026-09-22 01:33:47.894308,2026-09-22 01:33:53.337750,0 days 00:00:05.443442,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5047694753577107,2026-09-22 01:33:53.337750,2026-09-22 01:33:56.646769,0 days 00:00:03.309019,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
