number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5,2026-09-22 01:34:23.497201,2026-09-22 01:34:31.818113,0 days 00:00:08.320912,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 01:34:31.818113,2026-09-22 01:34:37.086396,0 days 00:00:05.268283,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5454545454545454,2026-09-22 01:34:37.086396,2026-09-22 01:34:40.363589,0 days 00:00:03.277193,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5,2026-09-22 01:34:40.363589,2026-09-22 01:34:49.145345,0 days 00:00:08.781756,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-22 01:34:49.146345,2026-09-22 01:34:53.558187,0 days 00:00:04.411842,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5454545454545454,2026-09-22 01:34:53.558187,2026-09-22 01:34:57.849586,0 days 00:00:04.291399,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5,2026-09-22 01:34:57.849586,2026-09-22 01:35:07.830100,0 days 00:00:09.980514,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.4880952380952381,2026-09-22 01:35:07.830100,2026-09-22 01:35:13.404023,0 days 00:00:05.573923,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5909090909090909,2026-09-22 01:35:13.405016,2026-09-22 01:35:21.382253,0 days 00:00:07.977237,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5454545454545454,2026-09-22 01:35:21.382253,2026-09-22 01:35:25.392131,0 days 00:00:04.009878,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
