number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6674503657262278,2026-09-22 01:46:03.889931,2026-09-22 01:46:36.703803,0 days 00:00:32.813872,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5617256306911479,2026-09-22 01:46:36.703803,2026-09-22 01:46:57.833776,0 days 00:00:21.129973,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6624496193461711,2026-09-22 01:46:57.833776,2026-09-22 01:47:07.874683,0 days 00:00:10.040907,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6796909986565159,2026-09-22 01:47:07.874683,2026-09-22 01:47:48.139698,0 days 00:00:40.265015,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5077623525899387,2026-09-22 01:47:48.139698,2026-09-22 01:47:52.573518,0 days 00:00:04.433820,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5552321241976415,2026-09-22 01:47:52.573518,2026-09-22 01:47:57.657474,0 days 00:00:05.083956,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5669876100910584,2026-09-22 01:47:57.657474,2026-09-22 01:48:19.394853,0 days 00:00:21.737379,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.536983131810718,2026-09-22 01:48:19.394853,2026-09-22 01:48:26.965007,0 days 00:00:07.570154,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5677339901477833,2026-09-22 01:48:26.965007,2026-09-22 01:48:42.231499,0 days 00:00:15.266492,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.57273473652784,2026-09-22 01:48:42.231499,2026-09-22 01:48:54.121786,0 days 00:00:11.890287,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
