number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6434542469025227,2026-09-22 01:40:13.261715,2026-09-22 01:40:37.790388,0 days 00:00:24.528673,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.6079638752052545,2026-09-22 01:40:37.790388,2026-09-22 01:41:06.049745,0 days 00:00:28.259357,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5912449619346172,2026-09-22 01:41:06.049745,2026-09-22 01:41:13.241281,0 days 00:00:07.191536,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5397447380206001,2026-09-22 01:41:13.241281,2026-09-22 01:41:26.391310,0 days 00:00:13.150029,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5437378713240782,2026-09-22 01:41:26.391310,2026-09-22 01:41:31.211916,0 days 00:00:04.820606,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5354903716972683,2026-09-22 01:41:31.211916,2026-09-22 01:41:35.219696,0 days 00:00:04.007780,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5734811165845649,2026-09-22 01:41:35.219696,2026-09-22 01:41:57.152250,0 days 00:00:21.932554,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5612404836542768,2026-09-22 01:41:57.152250,2026-09-22 01:42:10.590907,0 days 00:00:13.438657,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5397447380206001,2026-09-22 01:42:10.590907,2026-09-22 01:42:22.337371,0 days 00:00:11.746464,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5429914912673534,2026-09-22 01:42:22.337371,2026-09-22 01:42:27.333557,0 days 00:00:04.996186,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
