number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.6714434990297059,2026-09-22 01:43:05.416352,2026-09-22 01:43:47.149064,0 days 00:00:41.732712,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.6452082400358262,2026-09-22 01:43:47.149064,2026-09-22 01:43:56.929876,0 days 00:00:09.780812,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6494626063591581,2026-09-22 01:43:56.929876,2026-09-22 01:44:22.983503,0 days 00:00:26.053627,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.5247424988804299,2026-09-22 01:44:22.983503,2026-09-22 01:44:28.256091,0 days 00:00:05.272588,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,PRUNED
4,0.5307508583370653,2026-09-22 01:44:28.256091,2026-09-22 01:44:37.505727,0 days 00:00:09.249636,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.54799223764741,2026-09-22 01:44:37.505727,2026-09-22 01:44:45.390671,0 days 00:00:07.884944,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.5354903716972683,2026-09-22 01:44:45.390671,2026-09-22 01:44:57.624986,0 days 00:00:12.234315,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.5494849977608598,2026-09-22 01:44:57.624986,2026-09-22 01:45:09.845906,0 days 00:00:12.220920,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.5494849977608598,2026-09-22 01:45:09.845906,2026-09-22 01:45:16.506173,0 days 00:00:06.660267,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.5462382445141066,2026-09-22 01:45:16.506173,2026-09-22 01:45:22.339139,0 days 00:00:05.832966,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
