number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.8410956859232721,2026-09-22 01:38:41.095599,2026-09-22 01:38:41.773275,0 days 00:00:00.677676,2.481040974867813,,auto,COMPLETE
1,0.8353485594864904,2026-09-22 01:38:41.773275,2026-09-22 01:38:42.454123,0 days 00:00:00.680848,29.154431891537552,,scale,COMPLETE
2,0.8540826989102851,2026-09-22 01:38:42.454123,2026-09-22 01:38:43.094478,0 days 00:00:00.640355,75.7947995334801,,auto,COMPLETE
3,0.5344827586206896,2026-09-22 01:38:43.094478,2026-09-22 01:38:43.357216,0 days 00:00:00.262738,0.05415244119402541,,scale,PRUNED
4,0.5772130168681893,2026-09-22 01:38:43.357216,2026-09-22 01:38:43.610250,0 days 00:00:00.253034,0.14618962793704965,,auto,PRUNED
5,0.5879608896850277,2026-09-22 01:38:43.610250,2026-09-22 01:38:43.852622,0 days 00:00:00.242372,0.2920433847181412,,scale,PRUNED
6,0.6579340200029855,2026-09-22 01:38:43.852622,2026-09-22 01:38:44.168760,0 days 00:00:00.316138,1.1400863701127328,,auto,PRUNED
7,0.4938050455291835,2026-09-22 01:38:44.168760,2026-09-22 01:38:44.433938,0 days 00:00:00.265178,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.5789670100014928,2026-09-22 01:38:44.433938,2026-09-22 01:38:44.684699,0 days 00:00:00.250761,0.1653693718282443,,auto,PRUNED
9,0.5270189580534408,2026-09-22 01:38:44.684699,2026-09-22 01:38:45.047432,0 days 00:00:00.362733,0.030771802712506867,,auto,PRUNED
