number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.870509574299731,2026-09-22 01:51:52.597490,2026-09-22 01:52:09.845743,0 days 00:00:17.248253,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8536160784934325,2026-09-22 01:52:09.845743,2026-09-22 01:52:21.112526,0 days 00:00:11.266783,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8677005855356861,2026-09-22 01:52:21.112526,2026-09-22 01:52:24.354555,0 days 00:00:03.242029,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.8704700110777022,2026-09-22 01:52:24.354555,2026-09-22 01:52:37.858041,0 days 00:00:13.503486,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6535448646937807,2026-09-22 01:52:37.858041,2026-09-22 01:52:40.771507,0 days 00:00:02.913466,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.8493432505143219,2026-09-22 01:52:40.771507,2026-09-22 01:52:45.503769,0 days 00:00:04.732262,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6591628422218705,2026-09-22 01:52:45.503769,2026-09-22 01:52:54.560969,0 days 00:00:09.057200,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6563538534578256,2026-09-22 01:52:54.560969,2026-09-22 01:53:00.695171,0 days 00:00:06.134202,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.8733185630637759,2026-09-22 01:53:00.695171,2026-09-22 01:53:16.523893,0 days 00:00:15.828722,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.8733185630637759,2026-09-22 01:53:16.523893,2026-09-22 01:53:24.740598,0 days 00:00:08.216705,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
