number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6719021997151448,2026-09-22 02:01:54.585889,2026-09-22 02:02:31.678645,0 days 00:00:37.092756,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5521443266339611,2026-09-22 02:02:31.678645,2026-09-22 02:03:00.941355,0 days 00:00:29.262710,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6973017882576357,2026-09-22 02:03:00.941355,2026-09-22 02:03:12.171133,0 days 00:00:11.229778,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7113467320778604,2026-09-22 02:03:12.171133,2026-09-22 02:04:00.725683,0 days 00:00:48.554550,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5775043519544232,2026-09-22 02:04:00.725683,2026-09-22 02:04:06.936357,0 days 00:00:06.210674,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5972859629688242,2026-09-22 02:04:06.936357,2026-09-22 02:04:12.846918,0 days 00:00:05.910561,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.7043044785567336,2026-09-22 02:04:12.846918,2026-09-22 02:04:55.365956,0 days 00:00:42.519038,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.49719101123595505,2026-09-22 02:04:55.365956,2026-09-22 02:05:06.936751,0 days 00:00:11.570795,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5746953631903783,2026-09-22 02:05:06.936751,2026-09-22 02:05:25.805260,0 days 00:00:18.868509,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.7198132615920241,2026-09-22 02:05:25.805260,2026-09-22 02:05:49.795586,0 days 00:00:23.990326,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
