number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.8564250672574774,2026-09-22 01:51:47.307025,2026-09-22 01:51:48.109097,0 days 00:00:00.802072,2.481040974867813,,auto,COMPLETE
1,0.8451495489792689,2026-09-22 01:51:48.109097,2026-09-22 01:51:48.923849,0 days 00:00:00.814752,29.154431891537552,,scale,COMPLETE
2,0.8338740307010604,2026-09-22 01:51:48.923849,2026-09-22 01:51:49.694019,0 days 00:00:00.770170,75.7947995334801,,auto,COMPLETE
3,0.5211267605633803,2026-09-22 01:51:49.694019,2026-09-22 01:51:50.025325,0 days 00:00:00.331306,0.05415244119402541,,scale,PRUNED
4,0.5718468112043045,2026-09-22 01:51:50.025325,2026-09-22 01:51:50.310065,0 days 00:00:00.284740,0.14618962793704965,,auto,PRUNED
5,0.6028248140528565,2026-09-22 01:51:50.310065,2026-09-22 01:51:50.590558,0 days 00:00:00.280493,0.2920433847181412,,scale,PRUNED
6,0.6211425858521917,2026-09-22 01:51:50.590558,2026-09-22 01:51:50.900925,0 days 00:00:00.310367,1.1400863701127328,,auto,PRUNED
7,0.4974679537901566,2026-09-22 01:51:50.900925,2026-09-22 01:51:51.236932,0 days 00:00:00.336007,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.5648045576831777,2026-09-22 01:51:51.236932,2026-09-22 01:51:51.520858,0 days 00:00:00.283926,0.1653693718282443,,auto,PRUNED
9,0.5211267605633803,2026-09-22 01:51:51.520858,2026-09-22 01:51:51.856918,0 days 00:00:00.336060,0.030771802712506867,,auto,PRUNED
