number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5,2026-09-22 02:06:07.405169,2026-09-22 02:06:32.756669,0 days 00:00:25.351500,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 02:06:32.756669,2026-09-22 02:06:44.710913,0 days 00:00:11.954244,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5,2026-09-22 02:06:44.710913,2026-09-22 02:06:53.585005,0 days 00:00:08.874092,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5,2026-09-22 02:06:53.585005,2026-09-22 02:07:25.986090,0 days 00:00:32.401085,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-22 02:07:25.986090,2026-09-22 02:07:35.696270,0 days 00:00:09.710180,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5015429656591233,2026-09-22 02:07:35.696270,2026-09-22 02:07:44.633169,0 days 00:00:08.936899,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5,2026-09-22 02:07:44.633169,2026-09-22 02:08:15.622590,0 days 00:00:30.989421,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5,2026-09-22 02:08:15.622590,2026-09-22 02:08:27.795328,0 days 00:00:12.172738,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5,2026-09-22 02:08:27.795328,2026-09-22 02:08:58.807326,0 days 00:00:31.011998,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5,2026-09-22 02:08:58.807326,2026-09-22 02:09:19.693807,0 days 00:00:20.886481,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
