number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8021294804671768,2026-09-24 13:52:58.725447,2026-09-24 13:53:21.519556,0 days 00:00:22.794109,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.7480114780507451,2026-09-24 13:53:21.519556,2026-09-24 13:53:30.030955,0 days 00:00:08.511399,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8239780507450665,2026-09-24 13:53:30.032470,2026-09-24 13:53:35.898094,0 days 00:00:05.865624,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.8973684210526316,2026-09-24 13:53:35.898602,2026-09-24 13:53:44.306743,0 days 00:00:08.408141,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.8187424486508257,2026-09-24 13:53:44.306743,2026-09-24 13:53:50.177147,0 days 00:00:05.870404,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.8440646395489328,2026-09-24 13:53:50.178164,2026-09-24 13:53:56.267127,0 days 00:00:06.088963,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.8370670559806686,2026-09-24 13:53:56.267127,2026-09-24 13:54:09.799965,0 days 00:00:13.532838,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.784688995215311,2026-09-24 13:54:09.799965,2026-09-24 13:54:12.887012,0 days 00:00:03.087047,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.8447368421052632,2026-09-24 13:54:12.888053,2026-09-24 13:54:22.377826,0 days 00:00:09.489773,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.8073650825614176,2026-09-24 13:54:22.378816,2026-09-24 13:54:38.224558,0 days 00:00:15.845742,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
