number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6348167539267016,2026-09-24 14:05:15.782078,2026-09-24 14:06:00.533886,0 days 00:00:44.751808,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5013340716874748,2026-09-24 14:06:00.534929,2026-09-24 14:06:29.136513,0 days 00:00:28.601584,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6207712444623439,2026-09-24 14:06:29.137564,2026-09-24 14:06:46.909021,0 days 00:00:17.771457,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.69377990430622,2026-09-24 14:06:46.909021,2026-09-24 14:07:01.318095,0 days 00:00:14.409074,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.6746411483253588,2026-09-24 14:07:01.319109,2026-09-24 14:07:06.632451,0 days 00:00:05.313342,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5837320574162679,2026-09-24 14:07:06.634452,2026-09-24 14:07:12.223372,0 days 00:00:05.588920,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5645933014354066,2026-09-24 14:07:12.223372,2026-09-24 14:07:25.988947,0 days 00:00:13.765575,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.4425837320574163,2026-09-24 14:07:25.988947,2026-09-24 14:07:30.545203,0 days 00:00:04.556256,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6050140958517922,2026-09-24 14:07:30.546198,2026-09-24 14:08:18.078349,0 days 00:00:47.532151,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.6522855416834474,2026-09-24 14:08:18.078349,2026-09-24 14:08:46.259166,0 days 00:00:28.180817,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
