number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.611306886830447,2026-09-24 13:54:53.331546,2026-09-24 13:55:22.642274,0 days 00:00:29.310728,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5644633507853403,2026-09-24 13:55:22.643274,2026-09-24 13:55:54.257338,0 days 00:00:31.614064,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5,2026-09-24 13:55:54.257338,2026-09-24 13:56:02.488050,0 days 00:00:08.230712,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,PRUNED
3,0.5898358840112767,2026-09-24 13:56:02.489046,2026-09-24 13:57:02.865444,0 days 00:01:00.376398,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6231121627064036,2026-09-24 13:57:02.866471,2026-09-24 13:57:24.289533,0 days 00:00:21.423062,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.49282296650717705,2026-09-24 13:57:24.290045,2026-09-24 13:57:35.717941,0 days 00:00:11.427896,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.636578735400725,2026-09-24 13:57:35.718943,2026-09-24 13:58:35.185788,0 days 00:00:59.466845,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.7394736842105263,2026-09-24 13:58:35.186789,2026-09-24 13:58:54.079798,0 days 00:00:18.893009,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6421052631578947,2026-09-24 13:58:54.079798,2026-09-24 13:59:20.913236,0 days 00:00:26.833438,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5592277486910995,2026-09-24 13:59:20.914229,2026-09-24 13:59:37.314903,0 days 00:00:16.400674,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
