number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.614352597664116,2026-09-24 14:01:14.455249,2026-09-24 14:02:14.614500,0 days 00:01:00.159251,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5697492952074104,2026-09-24 14:02:14.614500,2026-09-24 14:02:29.125402,0 days 00:00:14.510902,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6094945630285944,2026-09-24 14:02:29.125402,2026-09-24 14:02:50.202900,0 days 00:00:21.077498,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.551651228352799,2026-09-24 14:02:50.203900,2026-09-24 14:03:00.424965,0 days 00:00:10.221065,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,COMPLETE
4,0.6447368421052632,2026-09-24 14:03:00.425973,2026-09-24 14:03:28.863837,0 days 00:00:28.437864,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.7184210526315788,2026-09-24 14:03:28.864839,2026-09-24 14:03:44.919524,0 days 00:00:16.054685,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.6894736842105263,2026-09-24 14:03:44.920558,2026-09-24 14:04:12.751963,0 days 00:00:27.831405,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.5530859846959324,2026-09-24 14:04:12.751963,2026-09-24 14:04:35.683186,0 days 00:00:22.931223,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,COMPLETE
8,0.6,2026-09-24 14:04:35.684220,2026-09-24 14:04:45.647847,0 days 00:00:09.963627,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.6160138944824809,2026-09-24 14:04:45.647847,2026-09-24 14:04:57.134215,0 days 00:00:11.486368,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,COMPLETE
