number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.7972714458316552,2026-09-24 13:52:19.362859,2026-09-24 13:52:25.801697,0 days 00:00:06.438838,2.481040974867813,,auto,COMPLETE
1,0.7951822392267418,2026-09-24 13:52:25.802707,2026-09-24 13:52:32.188047,0 days 00:00:06.385340,29.154431891537552,,scale,COMPLETE
2,0.8447368421052632,2026-09-24 13:52:32.189058,2026-09-24 13:52:36.161408,0 days 00:00:03.972350,75.7947995334801,,auto,PRUNED
3,0.6722488038277512,2026-09-24 13:52:36.162408,2026-09-24 13:52:38.741961,0 days 00:00:02.579553,0.05415244119402541,,scale,PRUNED
4,0.763157894736842,2026-09-24 13:52:38.753007,2026-09-24 13:52:44.846891,0 days 00:00:06.093884,0.14618962793704965,,auto,PRUNED
5,0.8447368421052632,2026-09-24 13:52:44.847904,2026-09-24 13:52:49.448405,0 days 00:00:04.600501,0.2920433847181412,,scale,PRUNED
6,0.7815142972211035,2026-09-24 13:52:49.449406,2026-09-24 13:52:53.157937,0 days 00:00:03.708531,1.1400863701127328,,auto,COMPLETE
7,0.700956937799043,2026-09-24 13:52:53.157937,2026-09-24 13:52:54.275815,0 days 00:00:01.117878,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.8157894736842105,2026-09-24 13:52:54.275815,2026-09-24 13:52:56.485063,0 days 00:00:02.209248,0.1653693718282443,,auto,PRUNED
9,0.6722488038277512,2026-09-24 13:52:56.485063,2026-09-24 13:52:57.575101,0 days 00:00:01.090038,0.030771802712506867,,auto,PRUNED
