number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5031463954893274,2026-09-24 14:09:36.120484,2026-09-24 14:10:21.329895,0 days 00:00:45.209411,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.4983387031816351,2026-09-24 14:10:21.329895,2026-09-24 14:10:47.873439,0 days 00:00:26.543544,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5031463954893274,2026-09-24 14:10:47.874439,2026-09-24 14:11:03.359345,0 days 00:00:15.484906,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5069975835682642,2026-09-24 14:11:03.360432,2026-09-24 14:11:34.893361,0 days 00:00:31.532929,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.4983387031816351,2026-09-24 14:11:34.894363,2026-09-24 14:11:49.661758,0 days 00:00:14.767395,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5,2026-09-24 14:11:49.662757,2026-09-24 14:12:03.292300,0 days 00:00:13.629543,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5031463954893274,2026-09-24 14:12:03.293270,2026-09-24 14:12:41.329826,0 days 00:00:38.036556,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5031463954893274,2026-09-24 14:12:41.330830,2026-09-24 14:13:03.146542,0 days 00:00:21.815712,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5,2026-09-24 14:13:03.146542,2026-09-24 14:13:42.141268,0 days 00:00:38.994726,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5057138542086186,2026-09-24 14:13:42.141268,2026-09-24 14:14:07.061070,0 days 00:00:24.919802,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
