number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8303215077605322,2026-09-24 14:15:44.635120,2026-09-24 14:16:01.114331,0 days 00:00:16.479211,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.7871396895787139,2026-09-24 14:16:01.115332,2026-09-24 14:16:12.265748,0 days 00:00:11.150416,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8516075388026607,2026-09-24 14:16:12.265748,2026-09-24 14:16:19.841845,0 days 00:00:07.576097,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.8477827050997783,2026-09-24 14:16:19.841845,2026-09-24 14:16:36.245119,0 days 00:00:16.403274,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.8295454545454546,2026-09-24 14:16:36.245119,2026-09-24 14:16:38.325935,0 days 00:00:02.080816,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.8257760532150776,2026-09-24 14:16:38.326943,2026-09-24 14:16:45.466990,0 days 00:00:07.140047,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.8409645232815965,2026-09-24 14:16:45.467991,2026-09-24 14:17:01.577694,0 days 00:00:16.109703,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.8068181818181819,2026-09-24 14:17:01.577694,2026-09-24 14:17:04.641766,0 days 00:00:03.064072,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.8257760532150776,2026-09-24 14:17:04.641766,2026-09-24 14:17:19.761598,0 days 00:00:15.119832,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.8465909090909092,2026-09-24 14:17:19.762599,2026-09-24 14:17:22.817620,0 days 00:00:03.055021,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
