number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.594290465631929,2026-09-24 14:27:25.615362,2026-09-24 14:28:04.607574,0 days 00:00:38.992212,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5483924611973393,2026-09-24 14:28:04.613063,2026-09-24 14:28:34.771619,0 days 00:00:30.158556,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.595509977827051,2026-09-24 14:28:34.772621,2026-09-24 14:28:44.202028,0 days 00:00:09.429407,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6738913525498891,2026-09-24 14:28:44.203034,2026-09-24 14:29:22.704973,0 days 00:00:38.501939,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5742239467849224,2026-09-24 14:29:22.704973,2026-09-24 14:29:41.779861,0 days 00:00:19.074888,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.6162971175166296,2026-09-24 14:29:41.779861,2026-09-24 14:29:57.242773,0 days 00:00:15.462912,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5625,2026-09-24 14:29:57.244389,2026-09-24 14:30:32.169606,0 days 00:00:34.925217,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5,2026-09-24 14:30:32.169606,2026-09-24 14:30:41.124382,0 days 00:00:08.954776,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6484478935698448,2026-09-24 14:30:41.127382,2026-09-24 14:31:09.933934,0 days 00:00:28.806552,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.6307649667405766,2026-09-24 14:31:09.933934,2026-09-24 14:31:20.633064,0 days 00:00:10.699130,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
