number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.6454545454545455,2026-09-24 14:22:14.481418,2026-09-24 14:23:00.723401,0 days 00:00:46.241983,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5732261640798226,2026-09-24 14:23:00.724402,2026-09-24 14:23:14.791339,0 days 00:00:14.066937,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.625,2026-09-24 14:23:14.791874,2026-09-24 14:23:21.848149,0 days 00:00:07.056275,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,PRUNED
3,0.5958425720620842,2026-09-24 14:23:21.848149,2026-09-24 14:23:34.881327,0 days 00:00:13.033178,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,COMPLETE
4,0.567239467849224,2026-09-24 14:23:34.882326,2026-09-24 14:24:21.243830,0 days 00:00:46.361504,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,COMPLETE
5,0.5778824833702882,2026-09-24 14:24:21.244834,2026-09-24 14:24:51.157310,0 days 00:00:29.912476,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,COMPLETE
6,0.6363636363636364,2026-09-24 14:24:51.157310,2026-09-24 14:25:00.092227,0 days 00:00:08.934917,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.6237250554323726,2026-09-24 14:25:00.092227,2026-09-24 14:25:29.577139,0 days 00:00:29.484912,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,COMPLETE
8,0.5,2026-09-24 14:25:29.578651,2026-09-24 14:25:32.771574,0 days 00:00:03.192923,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.6761363636363636,2026-09-24 14:25:32.771574,2026-09-24 14:25:37.912111,0 days 00:00:05.140537,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
