number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.8179046563192904,2026-09-24 14:15:12.132675,2026-09-24 14:15:15.747038,0 days 00:00:03.614363,2.481040974867813,,auto,COMPLETE
1,0.8507760532150777,2026-09-24 14:15:15.749013,2026-09-24 14:15:19.140260,0 days 00:00:03.391247,29.154431891537552,,scale,COMPLETE
2,0.8485033259423503,2026-09-24 14:15:19.140260,2026-09-24 14:15:22.193342,0 days 00:00:03.053082,75.7947995334801,,auto,COMPLETE
3,0.7897727272727273,2026-09-24 14:15:22.194342,2026-09-24 14:15:23.936456,0 days 00:00:01.742114,0.05415244119402541,,scale,PRUNED
4,0.8364190687361419,2026-09-24 14:15:23.937458,2026-09-24 14:15:28.207146,0 days 00:00:04.269688,0.14618962793704965,,auto,COMPLETE
5,0.8446784922394679,2026-09-24 14:15:28.207146,2026-09-24 14:15:32.471529,0 days 00:00:04.264383,0.2920433847181412,,scale,COMPLETE
6,0.7897727272727273,2026-09-24 14:15:32.471529,2026-09-24 14:15:33.630440,0 days 00:00:01.158911,1.1400863701127328,,auto,PRUNED
7,0.8920454545454546,2026-09-24 14:15:33.630440,2026-09-24 14:15:37.198106,0 days 00:00:03.567666,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.8409645232815965,2026-09-24 14:15:37.199130,2026-09-24 14:15:41.542585,0 days 00:00:04.343455,0.1653693718282443,,auto,COMPLETE
9,0.8068181818181819,2026-09-24 14:15:41.543586,2026-09-24 14:15:43.646497,0 days 00:00:02.102911,0.030771802712506867,,auto,PRUNED
