number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5060975609756098,2026-09-24 14:31:57.947639,2026-09-24 14:32:36.179922,0 days 00:00:38.232283,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.4975609756097561,2026-09-24 14:32:36.180925,2026-09-24 14:33:06.567316,0 days 00:00:30.386391,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5048780487804878,2026-09-24 14:33:06.568317,2026-09-24 14:33:26.232115,0 days 00:00:19.663798,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5024390243902439,2026-09-24 14:33:26.232115,2026-09-24 14:34:04.549060,0 days 00:00:38.316945,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.49878048780487805,2026-09-24 14:34:04.550062,2026-09-24 14:34:11.419551,0 days 00:00:06.869489,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5,2026-09-24 14:34:11.419551,2026-09-24 14:34:17.666732,0 days 00:00:06.247181,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.4975609756097561,2026-09-24 14:34:17.666732,2026-09-24 14:34:48.427141,0 days 00:00:30.760409,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5024390243902439,2026-09-24 14:34:48.427141,2026-09-24 14:35:15.111094,0 days 00:00:26.683953,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5024390243902439,2026-09-24 14:35:15.112622,2026-09-24 14:35:36.718129,0 days 00:00:21.605507,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.4965077605321508,2026-09-24 14:35:36.718129,2026-09-24 14:35:46.192561,0 days 00:00:09.474432,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
