number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8152184857027789,2026-09-24 14:37:18.984732,2026-09-24 14:37:32.237465,0 days 00:00:13.252733,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.7515354409987918,2026-09-24 14:37:32.237465,2026-09-24 14:37:40.514070,0 days 00:00:08.276605,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8423530004027386,2026-09-24 14:37:40.515070,2026-09-24 14:37:46.605414,0 days 00:00:06.090344,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.9236842105263158,2026-09-24 14:37:46.605414,2026-09-24 14:37:54.497747,0 days 00:00:07.892333,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.9473684210526316,2026-09-24 14:37:54.498758,2026-09-24 14:37:58.150965,0 days 00:00:03.652207,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.9210526315789473,2026-09-24 14:37:58.150965,2026-09-24 14:38:01.796811,0 days 00:00:03.645846,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.9210526315789473,2026-09-24 14:38:01.797816,2026-09-24 14:38:12.727422,0 days 00:00:10.929606,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.868421052631579,2026-09-24 14:38:12.727422,2026-09-24 14:38:21.896576,0 days 00:00:09.169154,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.8514901329037454,2026-09-24 14:38:21.898572,2026-09-24 14:38:46.802856,0 days 00:00:24.904284,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.9473684210526316,2026-09-24 14:38:46.803856,2026-09-24 14:38:55.605668,0 days 00:00:08.801812,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
