number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6598117196939186,2026-09-24 14:49:06.257060,2026-09-24 14:49:56.577468,0 days 00:00:50.320408,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5218989126057189,2026-09-24 14:49:56.577468,2026-09-24 14:50:27.945403,0 days 00:00:31.367935,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6650473217881595,2026-09-24 14:50:27.945403,2026-09-24 14:50:44.935675,0 days 00:00:16.990272,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6650473217881595,2026-09-24 14:50:44.935675,2026-09-24 14:51:30.455081,0 days 00:00:45.519406,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6134464357631897,2026-09-24 14:51:30.455081,2026-09-24 14:51:47.233526,0 days 00:00:16.778445,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.6094945630285944,2026-09-24 14:51:47.234529,2026-09-24 14:52:03.793976,0 days 00:00:16.559447,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.6339712918660287,2026-09-24 14:52:03.793976,2026-09-24 14:52:18.103327,0 days 00:00:14.309351,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5644130084575111,2026-09-24 14:52:18.103327,2026-09-24 14:52:46.150809,0 days 00:00:28.047482,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.726590817559404,2026-09-24 14:52:46.151818,2026-09-24 14:53:33.381387,0 days 00:00:47.229569,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.6357732581554572,2026-09-24 14:53:33.382386,2026-09-24 14:54:00.594279,0 days 00:00:27.211893,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
