number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6104007249295207,2026-09-24 14:39:47.597398,2026-09-24 14:40:37.395379,0 days 00:00:49.797981,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.61077829238824,2026-09-24 14:40:37.396407,2026-09-24 14:40:54.273410,0 days 00:00:16.877003,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.41866028708133973,2026-09-24 14:40:54.273410,2026-09-24 14:40:57.325876,0 days 00:00:03.052466,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,PRUNED
3,0.6391965364478454,2026-09-24 14:40:57.325876,2026-09-24 14:41:27.113380,0 days 00:00:29.787504,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6273912605718889,2026-09-24 14:41:27.113380,2026-09-24 14:41:37.337809,0 days 00:00:10.224429,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5837320574162679,2026-09-24 14:41:37.337809,2026-09-24 14:41:42.628623,0 days 00:00:05.290814,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6602870813397129,2026-09-24 14:41:42.628623,2026-09-24 14:41:57.605882,0 days 00:00:14.977259,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5765550239234449,2026-09-24 14:41:57.605882,2026-09-24 14:42:06.298386,0 days 00:00:08.692504,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.69377990430622,2026-09-24 14:42:06.298386,2026-09-24 14:42:21.691846,0 days 00:00:15.393460,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5911699556987515,2026-09-24 14:42:21.691846,2026-09-24 14:42:38.917250,0 days 00:00:17.225404,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
