number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.6483840112766814,2026-09-24 14:43:40.363495,2026-09-24 14:44:12.408007,0 days 00:00:32.044512,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5628020539669754,2026-09-24 14:44:12.408007,2026-09-24 14:44:26.012058,0 days 00:00:13.604051,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6436266612968183,2026-09-24 14:44:26.015189,2026-09-24 14:45:02.946415,0 days 00:00:36.931226,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.7511961722488039,2026-09-24 14:45:02.947416,2026-09-24 14:45:13.697360,0 days 00:00:10.749944,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,PRUNED
4,0.5502392344497608,2026-09-24 14:45:13.698033,2026-09-24 14:45:40.421984,0 days 00:00:26.723951,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.4688995215311005,2026-09-24 14:45:40.422983,2026-09-24 14:45:51.178189,0 days 00:00:10.755206,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.6483253588516746,2026-09-24 14:45:51.178189,2026-09-24 14:46:09.825708,0 days 00:00:18.647519,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.6220095693779905,2026-09-24 14:46:09.825708,2026-09-24 14:46:26.463409,0 days 00:00:16.637701,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.7464114832535884,2026-09-24 14:46:26.463409,2026-09-24 14:46:37.090576,0 days 00:00:10.627167,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.8492822966507176,2026-09-24 14:46:37.090576,2026-09-24 14:46:47.850077,0 days 00:00:10.759501,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
