number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.7745167136528393,2026-09-24 14:36:39.056449,2026-09-24 14:36:47.225393,0 days 00:00:08.168944,2.481040974867813,,auto,COMPLETE
1,0.769709021345147,2026-09-24 14:36:47.225393,2026-09-24 14:36:55.196781,0 days 00:00:07.971388,29.154431891537552,,scale,COMPLETE
2,0.7745167136528393,2026-09-24 14:36:55.197787,2026-09-24 14:37:01.955156,0 days 00:00:06.757369,75.7947995334801,,auto,COMPLETE
3,0.645933014354067,2026-09-24 14:37:01.957161,2026-09-24 14:37:03.967392,0 days 00:00:02.010231,0.05415244119402541,,scale,PRUNED
4,0.763157894736842,2026-09-24 14:37:03.968370,2026-09-24 14:37:06.377579,0 days 00:00:02.409209,0.14618962793704965,,auto,PRUNED
5,0.8421052631578947,2026-09-24 14:37:06.378578,2026-09-24 14:37:08.693450,0 days 00:00:02.314872,0.2920433847181412,,scale,PRUNED
6,0.7815142972211035,2026-09-24 14:37:08.693450,2026-09-24 14:37:12.288356,0 days 00:00:03.594906,1.1400863701127328,,auto,COMPLETE
7,0.6746411483253588,2026-09-24 14:37:12.288356,2026-09-24 14:37:13.959586,0 days 00:00:01.671230,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.8421052631578947,2026-09-24 14:37:13.959586,2026-09-24 14:37:16.365228,0 days 00:00:02.405642,0.1653693718282443,,auto,PRUNED
9,0.645933014354067,2026-09-24 14:37:16.365228,2026-09-24 14:37:17.684571,0 days 00:00:01.319343,0.030771802712506867,,auto,PRUNED
