number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5163864277084173,2026-09-24 14:55:35.565306,2026-09-24 14:56:19.893025,0 days 00:00:44.327719,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5014850986709626,2026-09-24 14:56:19.894024,2026-09-24 14:56:47.225202,0 days 00:00:27.331178,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5,2026-09-24 14:56:47.226195,2026-09-24 14:56:56.382006,0 days 00:00:09.155811,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,PRUNED
3,0.5202376157873541,2026-09-24 14:56:56.399641,2026-09-24 14:57:51.246630,0 days 00:00:54.846989,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5096153846153846,2026-09-24 14:57:51.246630,2026-09-24 14:58:17.629924,0 days 00:00:26.383294,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.4943364881192106,2026-09-24 14:58:17.629924,2026-09-24 14:58:43.552816,0 days 00:00:25.922892,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5066703584373742,2026-09-24 14:58:43.555839,2026-09-24 14:59:24.120818,0 days 00:00:40.564979,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5079540877970197,2026-09-24 14:59:24.124352,2026-09-24 14:59:54.236732,0 days 00:00:30.112380,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5268576318968989,2026-09-24 14:59:54.237731,2026-09-24 15:00:43.225788,0 days 00:00:48.988057,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5031463954893274,2026-09-24 15:00:43.226803,2026-09-24 15:01:11.840090,0 days 00:00:28.613287,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
