number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8347560975609756,2026-09-24 15:03:39.107231,2026-09-24 15:04:00.671480,0 days 00:00:21.564249,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8016075388026608,2026-09-24 15:04:00.671480,2026-09-24 15:04:14.063524,0 days 00:00:13.392044,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8693181818181819,2026-09-24 15:04:14.064582,2026-09-24 15:04:16.984477,0 days 00:00:02.919895,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,PRUNED
3,0.8693181818181819,2026-09-24 15:04:16.985477,2026-09-24 15:04:23.205054,0 days 00:00:06.219577,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.8693181818181819,2026-09-24 15:04:23.205054,2026-09-24 15:04:26.231442,0 days 00:00:03.026388,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.8303215077605322,2026-09-24 15:04:26.231442,2026-09-24 15:04:36.759278,0 days 00:00:10.527836,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.8439578713968958,2026-09-24 15:04:36.761286,2026-09-24 15:04:59.249468,0 days 00:00:22.488182,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.8068181818181819,2026-09-24 15:04:59.258050,2026-09-24 15:05:03.400201,0 days 00:00:04.142151,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.8432372505543237,2026-09-24 15:05:03.401202,2026-09-24 15:05:24.707063,0 days 00:00:21.305861,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.7443181818181819,2026-09-24 15:05:24.707063,2026-09-24 15:05:28.595973,0 days 00:00:03.888910,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
